type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product,2453,137.32,Cargobroek Squam Lake,"97 % biologisch katoen / 3 % elasthan. Stretch twill stof met perzikhuid. Aanrijgkoordjes aan de taille. Gulp met rits, 6 zakken, verborgen drukknopen, lederen reliëfembleem, rechte snit.",,Timberland,Kleding,Broek/Kuitbroek,,,,,,,,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Color,British Khaki,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,28 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,30 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,32 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,34 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,36 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,38 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,40 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Size,42 UK,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2453,,,,,,,,,,,Color,Dark Sapphire,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70956,British Khaki,,,,,,,28 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70957,British Khaki,,,,,,,30 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70958,British Khaki,,,,,,,32 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70959,British Khaki,,,,,,,34 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70960,British Khaki,,,,,,,36 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70961,British Khaki,,,,,,,38 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70962,British Khaki,,,,,,,40 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70964_70963,British Khaki,,,,,,,42 UK,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70956,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70957,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70958,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70959,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70960,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70961,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70962,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2453,137.32,,,,,,,,TB0A2CZH_70965_70963,Dark Sapphire,,,,,,,,,,,,,,,,,
product,2454,137.32,Full zip hooded sweatshirt Exeter River,80% katoen / 20% polyester. Geborstelde stof in een combinatie van polyester en heel zacht katoen. Het boompje van Timberland® werd op de borst geborduurd. Regular fit. Mouwuiteinden en onderkant in ribboord. Kangaroezakken.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=445074&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Timberland,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=445074&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Color,Dark Sapphire,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2454,,,,,,,,,,,Color,Medium Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71042,Black,,,,,,,S,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71043,Black,,,,,,,M,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71044,Black,,,,,,,L,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71045,Black,,,,,,,XL,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71046,Black,,,,,,,XXL,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_77897_71047,Black,,,,,,,3XL,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71042,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71043,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71044,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71045,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71046,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71048_71047,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71042,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71043,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71044,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71045,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71046,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2454,137.32,,,,,,,,TB0A2F6Y_71049_71047,Medium Grey Heather,,,,,,,,,,,,,,,,,
product,2455,44.96,Bio Brand line tee-shirt,100% biologisch jerseykatoen. Rechte snit. Gedrukt logo van Timberland® aan de voorkant.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=447651&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Timberland,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=447651&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Color,Dark Sapphire,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Color,Medium Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2455,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72307,Black,,,,,,,S,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72308,Black,,,,,,,M,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72309,Black,,,,,,,L,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72310,Black,,,,,,,XL,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72311,Black,,,,,,,XXL,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72313_72312,Black,,,,,,,3XL,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72307,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72308,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72309,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72310,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72311,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72314_72312,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72307,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72308,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72309,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72310,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72311,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72315_72312,Medium Grey,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72307,White,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72308,White,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72309,White,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72310,White,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72311,White,,,,,,,,,,,,,,,,,
product_variation,2455,44.96,,,,,,,,TB0A2C31_72316_72312,White,,,,,,,,,,,,,,,,,
product,2456,34.34,Cotton t-shirt dustan river,100% jerseykatoen. Fitted pasvorm. Contrasterende nektape. Het boompje van Timberland® werd links op de borst geborduurd in contrasterende kleuren.,,Timberland,Kleding,T-shirt,,,,,,,,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Color,Dark Sapphire,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Color,Medium Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Color,Wheat Boot,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2456,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72347,Black,,,,,,,S,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72348,Black,,,,,,,M,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72349,Black,,,,,,,L,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72350,Black,,,,,,,XL,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72351,Black,,,,,,,XXL,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72353_72352,Black,,,,,,,3XL,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72347,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72348,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72349,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72350,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72351,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72354_72352,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72347,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72348,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72349,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72350,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72351,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72355_72352,Medium Grey Heather,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72347,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72348,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72349,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72350,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72351,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72356_72352,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72347,White,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72348,White,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72349,White,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72350,White,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72351,White,,,,,,,,,,,,,,,,,
product_variation,2456,34.34,,,,,,,,TB0A2BPRO_72357_72352,White,,,,,,,,,,,,,,,,,
product,2457,183.32,Schoenen Solar wave LT low,Bovendeel en voering in ReBOTL™-stof bestaande uit minstens 50% gerecycleerd plastic. Model met veters. Voetbed gemaakt van 70% organische materialen. Comfortabele GreenStride™-zool bestaande uit 75% hernieuwbare organische materialen. Gekartelde buitenzool van rubber. Defender Repellent Systems®-behandeling.<br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Timberland,Schoenen & Accessoires,Schoenen Lifestyle / Leisure,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277677&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=371060&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Color,Grape leaf,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2457,,,,,,,,,,,Color,Wheat,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77907,Grape leaf,,,,,,,40 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77908,Grape leaf,,,,,,,41 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77909,Grape leaf,,,,,,,42 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77910,Grape leaf,,,,,,,43 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77911,Grape leaf,,,,,,,44 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77912,Grape leaf,,,,,,,45 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77914_77913,Grape leaf,,,,,,,46 EU,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77907,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77908,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77909,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77910,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77911,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77912,Wheat,,,,,,,,,,,,,,,,,
product_variation,2457,183.32,,,,,,,,TB0A2K_77916_77913,Wheat,,,,,,,,,,,,,,,,,
product,2458,164.42,Schoenen Killington ultra knit ox,Bovendeel en voering in ReBOTL™-stof bestaande uit minstens 50% gerecycleerd plastic. Model met veters. Voetbed gemaakt van 70% organische materialen. Comfortabele GreenStride™-zool bestaande uit 75% hernieuwbare organische materialen. Tussenzool van EVA en buitenzool van rubber.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277683&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Timberland,Schoenen & Accessoires,Schoenen Lifestyle / Leisure,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277683&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277682&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,2458,,,,,,,,,,,Color,Dark denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2458,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
