type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size
product_variation,1110,10.14,,,,,,,,,,,,,,,,,,KI5223_80511_80509,Iron Grey Jhoot,,,,,
product_variation,1110,10.14,,,,,,,,,,,,,,,,,,KI5223_80512_80509,Navy Blue Jhoot,,,,,
product,1111,5.84,‘K-loop’-shopper,"Gerecycled katoen/gerecycled polyester. Platte shopper met handgrepen in dezelfde stof als de tas, 70 cm lang. Deze tas is onderdeel van het ‘K-loop’-project. Met dit project sluit Kimood de kring van de circulaire economie in de strikte zin van het woord. Het gebruikte katoen is immers afkomstig van het productieafval van de katoenproducten van het merk Kariban en uit het KARIBAN BRANDS-assortiment. Het toegevoegde polyester is afkomstig van de recycling van PET-plastic flessen. Tijdens het recyclingproces worden aan het garen tracers toegevoegd, namelijk viscose- en keramische filamenten die als een unieke vingerafdruk fungeren. De tracers weerkaatsen het licht op een unieke manier en dragen daardoor een unieke en onbreekbare code. Hierdoor kunnen we dus in een blockchain alle informatie opslaan over de processen waaraan het garen op unieke wijze werd onderworpen. Dankzij de Aware™-tracertechnologie en het bijbehorende blockchainplatform kan de eindconsument bij Kimood het hele productieproces volgen. Dit garandeert dat het product werd gerecycled met zijn eigen afval, zonder mogelijke aanpassingen aan het proces. Een speciaal label met een QR-code biedt toegang tot het Aware™-platform. Zo kunnen de certificeringen makkelijk worden geraadpleegd met een smartphone.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=401306&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=401306&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=401305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383604&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Forest Green Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Light Royal Blue Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Navy Blue Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Orange Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,Red Jhoot,RADIOBUTTONS,TRUE,
product_option,1111,,,,,,,,,,,,,,,,,,,,,Color,White Jhoot,RADIOBUTTONS,TRUE,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80488_80487,Black Jhoot,,,,,One Size
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80489_80487,Dark Grey Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80490_80487,Forest Green Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80491_80487,Light Royal Blue Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80493_80487,Navy Blue Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80494_80487,Orange Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80495_80487,Oxford Grey Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80496_80487,Red Jhoot,,,,,
product_variation,1111,5.84,,,,,,,,,,,,,,,,,,KI5220_80497_80487,White Jhoot,,,,,
product,1112,25.64,‘K-loop’-laptoptas,"Gerecycled katoen/gerecycled polyester. <br/>Laptop- en aktetas (15 inch). <br/>Handgrepen + verstelbare en afneembare schouderriem van gerecycled katoenlint. <br/>Deze tas is onderdeel van het ‘K-loop’-project. <br/>Met dit project sluit Kimood de kring van de circulaire economie in de strikte zin van het woord. <br/>Het gebruikte katoen is immers afkomstig van het productieafval van de katoenproducten van het merk Kariban en uit het KARIBAN BRANDS-assortiment. <br/>Het toegevoegde polyester is afkomstig van de recycling van PET-plastic flessen. <br/>Tijdens het recyclingproces worden aan het garen tracers toegevoegd, namelijk viscose- en keramische filamenten die als een unieke digitale afdruk fungeren. <br/>De tracers weerkaatsen het licht op een unieke manier en dragen daardoor een unieke en onbreekbare code. <br/>Hierdoor kunnen we dus in een blockchain alle informatie opslaan over de processen waaraan het garen op unieke wijze werd onderworpen. <br/>Dankzij de Aware™-tracertechnologie en het bijbehorende blockchainplatform kan de eindconsument bij Kimood het hele productieproces volgen. Dit garandeert dat het product werd gerecycled met zijn eigen afval, zonder mogelijke aanpassingen aan het proces. Een speciaal label met een QR-code biedt toegang tot het Aware™-platform. Zo kunnen de certificeringen makkelijk worden geraadpleegd met een smartphone.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383697&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383697&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1112,,,,,,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,
product_option,1112,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1112,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey Jhoot,RADIOBUTTONS,TRUE,
product_variation,1112,25.64,,,,,,,,,,,,,,,,,,KI5402_80535_80534,Black Jhoot,,,,,One Size
product_variation,1112,25.64,,,,,,,,,,,,,,,,,,KI5402_80536_80534,Oxford Grey Jhoot,,,,,
product,1113,52.6,Boodschappenmand,100% polyester. Shoppingmand met hengsels van gevlochten koord. Binnenvoering van gerecycled polyester met klein zakje. Afsluitbaar met een rits. Groot etiket katoenen label van 12x5 cm om het product gemakkelijk te personaliseren.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383598&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Winkelwagen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383598&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383593&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383596&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383599&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383595&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383597&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383592&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1113,,,,,,,,,,,,,,,,,,,,,Color,Vegetal Paper,RADIOBUTTONS,TRUE,
product_option,1113,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1113,52.6,,,,,,,,,,,,,,,,,,KI5224_80514_80513,Vegetal Paper,,,,,One Size
