type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_variation_option_Size,product_media_gallery_image_url_8,product_media_gallery_image_url_9
product,104,61.5,Bloes Ravenna,"97% polyester / 3% elasthan. Stretchbloes, gemakkelijk te strijken. Korte mouwen, ronde hals. Wasbaar in de machine.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390324&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Brook Taverner,Kleding,Overhemd / Blouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390324&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266505&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390323&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,104,,,,,,,,,,,,,Color,Cream,RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Color,Gold,RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Color,Grey,RADIOBUTTONS,TRUE,,,,,,,
product_option,104,,,,,,,,,,,,,Color,Taupe,RADIOBUTTONS,TRUE,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77965,Cream,,,,,,,,,36 EU (8 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77966,Cream,,,,,,,,,38 EU (10 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77967,Cream,,,,,,,,,40 EU (12 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77968,Cream,,,,,,,,,42 EU (14 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77969,Cream,,,,,,,,,44 EU (16 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77971_77970,Cream,,,,,,,,,46 EU (18 UK),,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77965,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77966,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77967,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77968,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77969,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77972_77970,Gold,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77965,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77966,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77967,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77968,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77969,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77973_77970,Grey,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77965,Taupe,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77966,Taupe,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77967,Taupe,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77968,Taupe,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77969,Taupe,,,,,,,,,,,
product_variation,104,61.5,,,,,,,,,,BT2362_77974_77970,Taupe,,,,,,,,,,,
product,105,195.34,Jasje Vega,"64% polyester / 34% viscose / 2% elasthan. LYCRA® elasthan.  Getailleerde pasvorm, kraagloze styling met gebogen splitten, 2 interne jettzakken, gebogen voor- en achternaden. Hoge mate van vlekbestendigheid Teflon®. Martindale-slijtproef: bestand tegen 10.000 wrijvingen. Wasbaar in de machine op 40 °C of droogkuis.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390326&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Brook Taverner,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390326&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390325&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390327&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,105,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,48 EU (20 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Size,50 EU (22 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,105,,,,,,,,,,,,,Color,Navy Pin Dot,RADIOBUTTONS,TRUE,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77953,Black,,,,,,,,,34 EU (6 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77954,Black,,,,,,,,,36 EU (8 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77955,Black,,,,,,,,,38 EU (10 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77956,Black,,,,,,,,,40 EU (12 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77957,Black,,,,,,,,,42 EU (14 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77958,Black,,,,,,,,,44 EU (16 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77959,Black,,,,,,,,,46 EU (18 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77960,Black,,,,,,,,,48 EU (20 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77962_77961,Black,,,,,,,,,50 EU (22 UK),,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77953,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77954,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77955,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77956,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77957,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77958,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77959,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77960,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77963_77961,Navy,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77953,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77954,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77955,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77956,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77957,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77958,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77959,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77960,Navy Pin Dot,,,,,,,,,,,
product_variation,105,195.34,,,,,,,,,,BT2356_77964_77961,Navy Pin Dot,,,,,,,,,,,
product,106,69.32,Heren Cargobroek Tours,"63% polyester, 34% viscose, 3% lycra. Fitted pasvorm, 2 cargozakken, 2 opgezette heupzakken, 2 zakken vooraan, knoopsluiting, metalen gesp sleutel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=392255&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Brook Taverner,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392255&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,106,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,36 EU (28 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,38 EU (30 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,40 EU (32 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,42/44 EU (34 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,46 EU (36 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Size,48 EU (38 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Color,Charcoal,RADIOBUTTONS,TRUE,,,,,,,
product_option,106,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83112,Black,,,,,,,,,36 EU (28 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83113,Black,,,,,,,,,38 EU (30 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83114,Black,,,,,,,,,40 EU (32 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83115,Black,,,,,,,,,42/44 EU (34 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83116,Black,,,,,,,,,46 EU (36 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83118_83117,Black,,,,,,,,,48 EU (38 UK),,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83112,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83113,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83114,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83115,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83116,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83119_83117,Charcoal,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83112,Navy,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83113,Navy,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83114,Navy,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83115,Navy,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83116,Navy,,,,,,,,,,,
product_variation,106,69.32,,,,,,,,,,BT8968_83120_83117,Navy,,,,,,,,,,,
product,107,69.32,Dames Cargobroek Nantes,"63% polyester, 34% viscose, 3% lycra. Fitted pasvorm, 2 cargozakken, 2 opgezette heupzakken, 2 zakken vooraan, knoopsluiting, metalen gesp sleutel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=425547&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Brook Taverner,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=425547&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=425546&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,
product_option,107,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Color,Charcoal,RADIOBUTTONS,TRUE,,,,,,,
product_option,107,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83121,Black,,,,,,,,,34 EU (6 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83122,Black,,,,,,,,,36 EU (8 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83123,Black,,,,,,,,,38 EU (10 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83124,Black,,,,,,,,,40 EU (12 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83125,Black,,,,,,,,,42 EU (14 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83126,Black,,,,,,,,,44 EU (16 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83128_83127,Black,,,,,,,,,46 EU (18 UK),,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83121,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83122,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83123,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83124,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83125,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83126,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83129_83127,Charcoal,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83121,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83122,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83123,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83124,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83125,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83126,Navy,,,,,,,,,,,
product_variation,107,69.32,,,,,,,,,,BT2375_83130_83127,Navy,,,,,,,,,,,
product,108,1.58,Militaire sublimatiepatch MOLLE,Microvezel van HD-polyester. Achterkant volledig bedekt met Rip-Strip™ om hem overal te bevestigen. Compatibel met alle MOLLE-modellen van BagBase®. Compatibel met alle modellen met afneembare patch van Beechfield®. Oppervlak voor de sublimatie van HD-beelden. Geoptimaliseerd voor sublimatie met de pers. Ontwikkeld voor decoratie.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387158&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387158&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,108,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,
product_option,108,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,108,1.58,,,,,,,,,,BG841_83269_83268,White,,,,,,,,,One Size,,
product,109,2.74,Hartvormige sleutelhanger,100% imitatieleer van polyurethaan. Fijnkorrelig saffianoleer. Sleutelhanger van glanzend metaal. Te gebruiken als sleutelhanger of handtasjuweel. Ontworpen voor decoratie.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387948&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387948&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387920&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387917&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387161&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,109,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,109,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,109,,,,,,,,,,,,,Color,Coral,RADIOBUTTONS,TRUE,,,,,,,
product_option,109,,,,,,,,,,,,,Color,Rose gold,RADIOBUTTONS,TRUE,,,,,,,
product_option,109,,,,,,,,,,,,,Color,Soft pink,RADIOBUTTONS,TRUE,,,,,,,
product_option,109,,,,,,,,,,,,,Color,Soft white,RADIOBUTTONS,TRUE,,,,,,,
product_variation,109,2.74,,,,,,,,,,BG746_83263_83262,Black,,,,,,,,,One Size,,
product_variation,109,2.74,,,,,,,,,,BG746_83264_83262,Coral,,,,,,,,,,,
product_variation,109,2.74,,,,,,,,,,BG746_83265_83262,Rose gold,,,,,,,,,,,
product_variation,109,2.74,,,,,,,,,,BG746_83266_83262,Soft pink,,,,,,,,,,,
product_variation,109,2.74,,,,,,,,,,BG746_83267_83262,Soft white,,,,,,,,,,,
product,110,26.34,Retro Bowling Bag,600D polyester. Retro look. Draaghengsels van hetzelfde materiaal. Voorvak met rits. Binnenvak met rits. Binnenvakken in mesh. Binnenbodem. Beschermende voetjes.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152756&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152756&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152792&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=153000&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=153004&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152775&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152762&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152768&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=152835&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,110,,,,,,,,,,,,,Color,Black / Fuchsia,RADIOBUTTONS,TRUE,,,,,,,
product_option,110,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
