type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29,product_media_gallery_image_url_30
product,753,29,Schort Origine France Garantie,100% katoen. Thuis wasbaar op 60 °C. De lengte van de schort is aanpasbaar dankzij een metalen gesp aan de hals. Grote zak op de voorkant. Motief met 2 strepen onderaan de schort. Regelbaar lint aan de hals. Geweven etiket met de Franse vlag op de zak vooraan. Afmetingen: H 91 cm x B 78 cm. Zak: H 21 cm x B 31 cm. Label 'Origine France Garantie. Fabriqué en Bretagne'.<br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456350&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456350&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456346&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456164&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456165&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456338&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456337&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456349&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456348&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456347&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374762&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372382&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372657&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456166&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=456340&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,
product_option,753,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,753,,,,,,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_variation,753,29,,,,,,,,,,,,,,,,,,,,,,,K8012_68262_68261,Natural,,,,,One Size,,,,,,,,,,,,,,
product,754,12.14,"Halflange, geklede sokken van biologisch katoen - 'Origine France Garantie'","75% biologisch katoen / 23% polyamide / 2% elasthan. Gekamd katoengaren. Tricot gauge 14. France Garantie. Halflang. Verstevigde hiel en tenen. Jacquardinzetsel 'Fabriqué en France' en maatinformatie op de onderkant van de sok. Dubbele dikte op het bovendeel, voor een maximaal comfort.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=199772&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Ondergoed,Sokken,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199772&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199778&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199776&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199774&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199770&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199769&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199766&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199767&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Size,35/38 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Size,39/42 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Size,43/46 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,754,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68287_68284,Black,,,,,35/38 EU,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68287_68285,Black,,,,,39/42 EU,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68287_68286,Black,,,,,43/46 EU,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68288_68284,Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68288_68285,Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68288_68286,Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68289_68284,Navy,,,,,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68289_68285,Navy,,,,,,,,,,,,,,,,,,,
product_variation,754,12.14,,,,,,,,,,,,,,,,,,,,,,,K818_68289_68286,Navy,,,,,,,,,,,,,,,,,,,
product,755,14.1,"Halflange, geklede sokken van gemerceriseerd katoen - 'Origine France Garantie'","89% katoen /9% polyamide / 2% elasthan. 'Origine France Garantie'. Gemerceriseerd Egyptisch katoengaren. Naadloos. Gauge 18. Verstevigde en contrasterende hiel en tenen. Jacquardinzetsel 'Fabriqué en France' en maatinformatie op de onderkant van de sok. Dubbele dikte op het bovendeel, voor een maximaal comfort. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201559&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Ondergoed,Sokken,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201559&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201564&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201560&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black / Dark Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Size,35/38 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Size,39/42 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Size,43/46 EU,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey Heather / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,755,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy / Dark Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68281_68278,Black / Dark Grey Heather,,,,,35/38 EU,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68281_68279,Black / Dark Grey Heather,,,,,39/42 EU,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68281_68280,Black / Dark Grey Heather,,,,,43/46 EU,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68282_68278,Dark Grey Heather / Black,,,,,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68282_68279,Dark Grey Heather / Black,,,,,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68282_68280,Dark Grey Heather / Black,,,,,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68283_68278,Navy / Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68283_68279,Navy / Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product_variation,755,14.1,,,,,,,,,,,,,,,,,,,,,,,K817_68283_68280,Navy / Dark Grey Heather,,,,,,,,,,,,,,,,,,,
product,756,31.64,Ecologische herenbroek in fleece,"80% biologisch katoen / 20% gerecycleerd polyester post-consumer. Oxford Grey 75% biologisch katoen / 25% gerecycleerd polyester post-consumer. Fleece french terry LST (Low Shrinkage Terry). Stof: enzymgewassen. 2 zijzakken en 1 opgezette achterzak. Elastische tailleband in 1x1 ribboord met platte, toon-op-toon aanrijgkoordjes met metalen uiteinde. Broekspijpen afgewerkt met 1x1 ribboord. Geen merklabel, maar enkel een maatlabel voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/8, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=251583&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251583&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251579&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251576&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251577&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251580&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251582&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251578&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251581&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,756,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73881,Black,,,,,XS,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73882,Black,,,,,S,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73883,Black,,,,,M,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73884,Black,,,,,L,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73885,Black,,,,,XL,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73886,Black,,,,,XXL,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73887,Black,,,,,3XL,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73889_73888,Black,,,,,4XL,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73881,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73882,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73883,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73884,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73885,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73886,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73887,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73890_73888,Navy,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73881,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73882,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73883,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73884,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73885,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73886,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73887,Oxford Grey,,,,,,,,,,,,,,,,,,,
product_variation,756,31.64,,,,,,,,,,,,,,,,,,,,,,,K758_73891_73888,Oxford Grey,,,,,,,,,,,,,,,,,,,
product,757,22.36,Ecologische herenbermuda in fleece,"80% biologisch katoen / 20% gerecycleerd polyester post-consumer. Oxford Grey 75% biologisch katoen / 25% gerecycleerd polyester post-consumer. Fleece french terry LST (Low Shrinkage Terry). Stof: enzymgewassen. 2 zijzakken en 1 opgezette achterzak. Elastische tailleband in 1x1 ribboord met platte, toon-op-toon aanrijgkoordjes met metalen uiteinde. Geen merklabel, maar enkel een maatlabel voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=251574&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Bermuda/Short,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251574&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251572&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251569&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251575&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251570&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251573&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251571&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422334&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422335&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_option,757,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,
product_variation,757,22.36,,,,,,,,,,,,,,,,,,,,,,,K757_73878_73870,Black,,,,,XS,,,,,,,,,,,,,,
