type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_variation_option_Size
product,1303,7.66,"Gestreepte muts, gebreid met gerecycled garen.",70% polyester / 30% acryl. Gestreepte pomponmuts gebreid met gerecycled polyester en acryl. Strepen in contrasterende kleuren.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383781&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383781&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390652&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214469&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390651&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1303,,,,,,,,,,,,,,,Color,Dark Rosewood heather  / Light Sand Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1303,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1303,,,,,,,,,,,,,,,Color,Light Sand Heather  / Light Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1303,7.66,,,,,,,,,,,,KP556_68459_68458,Dark Rosewood heather  / Light Sand Heather,,,,,,,,,,,,,,One Size
product_variation,1303,7.66,,,,,,,,,,,,KP556_68460_68458,Light Sand Heather  / Light Grey Heather,,,,,,,,,,,,,,
product,1304,6.9,"Klassieke muts, gebreid met gerecycled garen.",70% polyester / 30% acryl. Klassieke muts gebreid met gerecycled polyester en acryl.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383780&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383780&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390650&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390649&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214539&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214553&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1304,,,,,,,,,,,,,,,Color,Ash heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1304,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1304,,,,,,,,,,,,,,,Color,Horizon Blue heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1304,6.9,,,,,,,,,,,,KP557_68462_68461,Ash heather,,,,,,,,,,,,,,One Size
product_variation,1304,6.9,,,,,,,,,,,,KP557_68463_68461,Horizon Blue heather,,,,,,,,,,,,,,
product,1305,16.86,Pet Newsboy,"Ouderwetse pet in polyester en wol, zoals de krantenjongens die vroeger droegen. Heel trendy. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277553&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277553&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277551&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277552&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262598&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262597&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262599&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,1305,,,,,,,,,,,,,,,Color,Herringbone Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1305,,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1305,,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1305,,,,,,,,,,,,,,,Color,Herringbone Sand,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1305,16.86,,,,,,,,,,,,KP614_74273_74271,Herringbone Grey,,,,,,,,,,,,,,S/M
product_variation,1305,16.86,,,,,,,,,,,,KP614_74273_74272,Herringbone Grey,,,,,,,,,,,,,,L/XL
product_variation,1305,16.86,,,,,,,,,,,,KP614_74274_74271,Herringbone Sand,,,,,,,,,,,,,,
product_variation,1305,16.86,,,,,,,,,,,,KP614_74274_74272,Herringbone Sand,,,,,,,,,,,,,,
product,1306,16.64,Baret duckbill,Baret in duckbill-stijl in wol en polyester. Tear-away merklabel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262595&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262595&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262594&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262596&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Color,Fly Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Color,Herringbone Chocolate,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1306,,,,,,,,,,,,,,,Color,Herringbone Light Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74277_74275,Black,,,,,,,,,,,,,,S/M
product_variation,1306,16.64,,,,,,,,,,,,KP615_74277_74276,Black,,,,,,,,,,,,,,L/XL
product_variation,1306,16.64,,,,,,,,,,,,KP615_74278_74275,Fly Blue,,,,,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74278_74276,Fly Blue,,,,,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74279_74275,Herringbone Chocolate,,,,,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74279_74276,Herringbone Chocolate,,,,,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74280_74275,Herringbone Light Grey,,,,,,,,,,,,,,
product_variation,1306,16.64,,,,,,,,,,,,KP615_74280_74276,Herringbone Light Grey,,,,,,,,,,,,,,
product,1307,14.24,Bob in de stijl van een bucket hat,100% katoen. Katoenen bob in de stijl van een bucket hat. Veter met stopper. Tear-away merklabel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262593&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Bob,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262593&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262592&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262591&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,1307,,,,,,,,,,,,,,,Color,Oxyde Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1307,,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1307,,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1307,,,,,,,,,,,,,,,Color,River blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1307,,,,,,,,,,,,,,,Color,Sea Sand,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1307,14.24,,,,,,,,,,,,KP616_74283_74281,Oxyde Grey,,,,,,,,,,,,,,S/M
product_variation,1307,14.24,,,,,,,,,,,,KP616_74283_74282,Oxyde Grey,,,,,,,,,,,,,,L/XL
product_variation,1307,14.24,,,,,,,,,,,,KP616_74284_74281,River blue,,,,,,,,,,,,,,
product_variation,1307,14.24,,,,,,,,,,,,KP616_74284_74282,River blue,,,,,,,,,,,,,,
product_variation,1307,14.24,,,,,,,,,,,,KP616_74285_74281,Sea Sand,,,,,,,,,,,,,,
product_variation,1307,14.24,,,,,,,,,,,,KP616_74285_74282,Sea Sand,,,,,,,,,,,,,,
product,1308,15.9,Pet met oorkleppen,"Winterpet met oorflappen, in polyester. Soepele, thermische en gewatteerde stof. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262589&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262589&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262590&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262588&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262587&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262586&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262585&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,1308,,,,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1308,,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1308,,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1308,,,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1308,15.9,,,,,,,,,,,,KP617_74288_74286,Fluorescent Orange,,,,,,,,,,,,,,S/M
product_variation,1308,15.9,,,,,,,,,,,,KP617_74288_74287,Fluorescent Orange,,,,,,,,,,,,,,L/XL
product_variation,1308,15.9,,,,,,,,,,,,KP617_74289_74286,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,1308,15.9,,,,,,,,,,,,KP617_74289_74287,Fluorescent Yellow,,,,,,,,,,,,,,
product,1309,7.46,Muts met kerstmotieven,95% acryl / 5% elastaan. Muts met pompon.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367585&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367585&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367593&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367592&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367591&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367583&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367588&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367587&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367594&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367590&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367584&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367589&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367582&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367581&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367586&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,
product_option,1309,,,,,,,,,,,,,,,Color,Cherry Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1309,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1309,,,,,,,,,,,,,,,Color,Night Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1309,,,,,,,,,,,,,,,Color,Off White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1309,7.46,,,,,,,,,,,,KP558_80740_80739,Cherry Red,,,,,,,,,,,,,,One Size
product_variation,1309,7.46,,,,,,,,,,,,KP558_80741_80739,Night Navy,,,,,,,,,,,,,,
product_variation,1309,7.46,,,,,,,,,,,,KP558_80742_80739,Off White,,,,,,,,,,,,,,
product,1310,3.5,Tweekleurige Muts Met Omslag,"100% acryl. Gebreide muts met omslag in contrastkleur. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383790&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383790&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=68610&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Dark Grey / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Red / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Royal Blue / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1310,,,,,,,,,,,,,,,Color,Yellow / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47005_47004,Black / Orange,,,,,,,,,,,,,,One Size
product_variation,1310,3.5,,,,,,,,,,,,KP514_47006_47004,Black / Red,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47007_47004,Black / White,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47008_47004,Dark Grey / Light Grey,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47010_47004,Red / Yellow,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47011_47004,Royal Blue / White,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47012_47004,Royal Blue / Yellow,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47013_47004,White / Navy,,,,,,,,,,,,,,
product_variation,1310,3.5,,,,,,,,,,,,KP514_47014_47004,Yellow / Black,,,,,,,,,,,,,,
product,1311,3.34,Muts Met Gecontrasteerd Boord,"100% acryl. Gebreide muts met tweekleurig gecontrasteerd boord aan de rand. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383789&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383789&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390671&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390670&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=68613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Black / Yellow / Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Grey / White / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Kelly Green / White / Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Lime / White / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Orange / Red / White / Cobalt Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Red / White / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Royal Blue / White / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Royal Blue / White / Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1311,,,,,,,,,,,,,,,Color,Yellow / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47484_47483,Black / White,,,,,,,,,,,,,,One Size
product_variation,1311,3.34,,,,,,,,,,,,KP515_48637_47483,Black / Yellow / Red,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47485_47483,Grey / White / Black,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47486_47483,Kelly Green / White / Red,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47487_47483,Lime / White / Black,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_48638_47483,Orange / Red / White / Cobalt Blue,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47488_47483,Red / White / Black,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47489_47483,Royal Blue / White / Black,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47490_47483,Royal Blue / White / Red,,,,,,,,,,,,,,
product_variation,1311,3.34,,,,,,,,,,,,KP515_47491_47483,Yellow / Black,,,,,,,,,,,,,,
product,1312,2.6,Muts Met Ribboord,"100% acryl. Gebreide muts met rand in rib. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262521&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262521&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262522&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=68616&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=68615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Color,Fuchsia,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1312,,,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1312,2.6,,,,,,,,,,,,KP516_47016_47015,Black,,,,,,,,,,,,,,One Size
product_variation,1312,2.6,,,,,,,,,,,,KP516_47017_47015,Fuchsia,,,,,,,,,,,,,,
product_variation,1312,2.6,,,,,,,,,,,,KP516_47019_47015,Lime,,,,,,,,,,,,,,
product_variation,1312,2.6,,,,,,,,,,,,KP516_47020_47015,Navy,,,,,,,,,,,,,,
product_variation,1312,2.6,,,,,,,,,,,,KP516_47021_47015,Royal Blue,,,,,,,,,,,,,,
