type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5
product_option,2256,,,,,,,,,,,Color,Navy / Grey,RADIOBUTTONS,TRUE,,,,
product_option,2256,,,,,,,,,,,Color,Teal / Grey,RADIOBUTTONS,TRUE,,,,
product_variation,2256,5.76,,,,,,,,RC378X_52674_52673,Black / Grey,,,,,,,,
product_variation,2256,5.76,,,,,,,,RC378X_52675_52673,Navy / Grey,,,,,,,,
product_variation,2256,5.76,,,,,,,,RC378X_52676_52673,Teal / Grey,,,,,,,,
product,2257,48.64,Polycotton Twill Trousers,"65% polyester / 35% canvaskatoen. Elastische tailleband voor extra comfort. 2 achterzakken met overslag. 1 cargozak op rechter broekspijp. Zakje voor GSM. Beenlengte 81cm. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=273804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=273804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=148099&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=151697&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,2257,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,44 NL (28 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,46 NL (30 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,48 NL (32 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,50 NL (34 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,52 NL (36 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,54 NL (38 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,56 NL (40 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,58 NL (42 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,60 NL (44 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,62 NL (46 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Size,64 NL (48 UK),RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Color,Convoy Grey,RADIOBUTTONS,TRUE,,,,
product_option,2257,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18887,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18889,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18891,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18892,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18893,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18894,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18895,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18896,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18897,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18898,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18900_18899,Black,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18887,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18889,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18891,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18892,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18893,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18894,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18895,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18896,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18897,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18898,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_23200_18899,Convoy Grey,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18887,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18889,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18891,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18892,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18893,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18894,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18895,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18896,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18897,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18898,French Navy,,,,,,,,
product_variation,2257,48.64,,,,,,,,RU001M_18901_18899,French Navy,,,,,,,,
product,2258,44.96,Polycotton Twill Shorts,"65% polyester / 35% canvaskatoen. Elastische tailleband voor extra comfort. 2 achterzakken met overslag. 1 cargozak op rechter broekspijp. Zakje voor GSM. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=273803&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,Bermuda/Short,https://media.europeancatalog.com/ws.php?act=download&mamfileid=273803&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=148098&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=151695&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,2258,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,44 NL (28 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,46 NL (30 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,48 NL (32 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,50 NL (34 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,52 NL (36 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,54 NL (38 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,56 NL (40 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,58 NL (42 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,60 NL (44 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,62 NL (46 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Size,64 NL (48 UK),RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Color,Convoy Grey,RADIOBUTTONS,TRUE,,,,
product_option,2258,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18903,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18904,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18905,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18906,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18907,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18908,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18909,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18910,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18911,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18912,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18914_18913,Black,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18903,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18904,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18905,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18906,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18907,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18908,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18909,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18910,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18911,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18912,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_20739_18913,Convoy Grey,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18903,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18904,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18905,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18906,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18907,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18908,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18909,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18910,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18911,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18912,French Navy,,,,,,,,
product_variation,2258,44.96,,,,,,,,RU002M_18915_18913,French Navy,,,,,,,,
product,2259,16.54,Heavy Duty T-shirt,"100% ringgesponnen gekamd katoen (Light Oxford: 93% katoen / 7% viscose). Gewassen met enzymen voor een zacht en glad oppervlakte. Tweelaags op de schouders en mouwen afgewerkt met tweevoudige stiksels ter versteviging. Wasbaar tot 60°C. Geschikt voor de wasdroger. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387735&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387735&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387734&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2259,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Color,Light Oxford,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,
product_option,2259,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14821,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14805,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14806,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14807,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14809,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14838_14810,Black,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58098_58096,Black,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58098_58097,Black,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14821,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14805,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14806,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14807,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14809,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14840_14810,Bright Royal,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58100_58096,Bright Royal,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58100_58097,Bright Royal,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14821,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14805,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14806,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14807,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14809,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_14842_14810,French Navy,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58102_58096,French Navy,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58102_58097,French Navy,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14821,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14805,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14806,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14807,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14809,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61888_14810,Light Oxford,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_61887_58096,Light Oxford,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_61887_58097,Light Oxford,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14821,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14805,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14806,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14807,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14809,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_20743_14810,Orange,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58103_58096,Orange,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_58103_58097,Orange,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14821,White,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14805,White,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14806,White,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14807,White,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14809,White,,,,,,,,
product_variation,2259,16.54,,,,,,,,RU010M_61889_14810,White,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_61890_58096,White,,,,,,,,
product_variation,2259,19.82,,,,,,,,RU010MX_61890_58097,White,,,,,,,,
product,2260,43.76,Heavy Duty Collar Sweatshirt,"80% ringgesponnen gekamd katoen / 20% polyester. SpotShield™ anti-vlek behandeling. Tweelaags op de schouders. Inzetstukken voor voor een betere snit en bewegingsvrijheid. Langer achterpand en 1x1 ribboord onderaan. 1x1 rib en elasthan aan de mouwuiteinden. Verstevigde kraag. Metalen knopen met plastic laag. Reserveknoop. Elastische penhouder op de mouw. Wasbaar tot 60°C en geschikt voor de wasdroger. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387596&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387596&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387736&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2260,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Color,Bottle Green,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,
product_option,2260,,,,,,,,,,,Color,Light Oxford,RADIOBUTTONS,TRUE,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14903_14901,Black,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14903_14900,Black,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14903_14899,Black,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14903_14887,Black,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14903_14888,Black,,,,,,,,
product_variation,2260,50.34,,,,,,,,RU012MX_58106_58104,Black,,,,,,,,
product_variation,2260,50.34,,,,,,,,RU012MX_58106_58105,Black,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14904_14901,Bottle Green,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14904_14900,Bottle Green,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14904_14899,Bottle Green,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14904_14887,Bottle Green,,,,,,,,
product_variation,2260,43.76,,,,,,,,RU012M_14904_14888,Bottle Green,,,,,,,,
product_variation,2260,50.34,,,,,,,,RU012MX_58107_58104,Bottle Green,,,,,,,,
