type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9
product,1353,6.14,Gerecycleerde muts met patch,"50% polyester, 50% acryl. Muts met gebreide omslag in acryl en polyester. Katoenen patch aan de voorkant, voor eenvoudige personalisatie. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277554&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277554&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277555&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262636&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262637&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262638&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262639&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,1353,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1353,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74323_74322,Black,One Size,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74324_74322,Dark Grey,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74325_74322,Dark Khaki,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74326_74322,Forest Green,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74327_74322,Grey Heather,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74328_74322,Navy,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74329_74322,Oxford grey,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74330_74322,Red,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74331_74322,Royal Blue,,,,,,,,,,,,,
product_variation,1353,6.14,,,,,,,,KP890_74332_74322,White,,,,,,,,,,,,,
product,1354,7.2,Gerecycleerde muts met patch en Thinsulate-voering,"50% polyester, 50% acryl. Muts met gebreide omslag in acryl en polyester. Heel comfortabele Thinsulate-fleecevoering. Katoenen patch aan de voorkant, voor eenvoudige personalisatie. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277561&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277561&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277564&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262633&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262634&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262635&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277562&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277563&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,1354,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1354,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74334_74333,Black,One Size,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74335_74333,Dark Grey,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74336_74333,Dark Khaki,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74337_74333,Forest Green,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74338_74333,Grey Heather,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74339_74333,Navy,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74340_74333,Oxford grey,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74341_74333,Red,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74342_74333,Royal Blue,,,,,,,,,,,,,
product_variation,1354,7.2,,,,,,,,KP891_74343_74333,White,,,,,,,,,,,,,
product,1355,5.9,Gerecycleerde muts met gebreide omslag,"50% polyester, 50% acryl. Muts met gebreide omslag, gemaakt van gerecycleerd polyester en acryl. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262631&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262631&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262630&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262632&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263320&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263318&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263319&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,1355,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1355,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74345_74344,Black,One Size,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74346_74344,Dark Grey,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74347_74344,Dark Khaki,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74348_74344,Forest Green,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74349_74344,Grey Heather,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74350_74344,Navy,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74351_74344,Oxford grey,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74352_74344,Red,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74353_74344,Royal Blue,,,,,,,,,,,,,
product_variation,1355,5.9,,,,,,,,KP892_74354_74344,White,,,,,,,,,,,,,
product,1356,6.9,Gerecycleerde muts met Thinsulate-voering,"50% polyester, 50% acryl. Gebreide muts met omslag, gemaakt van 50% acryl en 50% gerecycleerd polyester. Hele comfortabele Thinsulate-fleecevoering.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262628&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262628&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262627&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262629&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1356,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1356,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74356_74355,Black,One Size,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74357_74355,Dark Grey,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74358_74355,Dark Khaki,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74359_74355,Forest Green,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74360_74355,Grey Heather,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74361_74355,Navy,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74362_74355,Oxford grey,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74363_74355,Red,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74364_74355,Royal Blue,,,,,,,,,,,,,
product_variation,1356,6.9,,,,,,,,KP893_74365_74355,White,,,,,,,,,,,,,
product,1357,6.14,Muts met patch en Thinsulate-voering,"100% acryl. Gebreide muts met omslag in zacht acryl. Katoenen patch aan de voorkant, voor eenvoudige personalisatie.  Heel comfortabele Thinsulate-fleecevoering. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262624&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262624&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262625&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262626&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1357,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1357,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74367_74366,Black,One Size,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74368_74366,Dark Grey,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74369_74366,Dark Khaki,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74370_74366,Forest Green,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74371_74366,Grey Heather,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74372_74366,Navy,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74373_74366,Oxford grey,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74374_74366,Red,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74375_74366,Royal Blue,,,,,,,,,,,,,
product_variation,1357,6.14,,,,,,,,KP894_74376_74366,White,,,,,,,,,,,,,
product,1358,4.36,Muts met patch,"100% acryl. Gebreide muts met omslag in zacht acryl.  Katoenen patch aan de voorkant, voor eenvoudige personalisatie. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=262622&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262622&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262621&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262623&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1358,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1358,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74378_74377,Black,One Size,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74379_74377,Dark Grey,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74380_74377,Dark Khaki,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74381_74377,Forest Green,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74382_74377,Grey Heather,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74383_74377,Navy,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74384_74377,Oxford grey,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74385_74377,Red,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74386_74377,Royal Blue,,,,,,,,,,,,,
product_variation,1358,4.36,,,,,,,,KP895_74387_74377,White,,,,,,,,,,,,,
product,1359,5.9,Muts met Thinsulate-voering,100% acryl. Gebreide muts met omslag in zacht acryl. Heel comfortabele Thinsulate-fleecevoering. Tear-away merklabel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262620&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262620&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262619&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=262618&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1359,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Dark Khaki,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Oxford grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1359,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74389_74388,Black,One Size,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74390_74388,Dark Grey,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74391_74388,Dark Khaki,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74392_74388,Forest Green,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74393_74388,Grey Heather,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74394_74388,Navy,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74395_74388,Oxford grey,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74396_74388,Red,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74397_74388,Royal Blue,,,,,,,,,,,,,
product_variation,1359,5.9,,,,,,,,KP896_74398_74388,White,,,,,,,,,,,,,
product,1360,5.8,Gerecycleerde muts van fleece,"100% polyester. Muts in microfleece, gemaakt van 100% gerecycleerd polyester. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383772&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383772&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390634&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390633&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266684&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,1360,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Size,51 cm,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Size,55 cm,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1360,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74292_74290,Black,51 cm,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74292_74291,Black,55 cm,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74293_74290,Dark Grey,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74293_74291,Dark Grey,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74294_74290,Navy,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74294_74291,Navy,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74295_74290,Red,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74295_74291,Red,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74296_74290,Royal Blue,,,,,,,,,,,,,
product_variation,1360,5.8,,,,,,,,KP883_74296_74291,Royal Blue,,,,,,,,,,,,,
product,1361,5.64,Gerecycleerde muts van fleece met omslag,"100% polyester. Muts met omslag in microfleece, gemaakt van 100% gerecycleerd polyester. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383771&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383771&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390631&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390632&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266688&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390630&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,1361,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1361,,,,,,,,,,,,Size,51 cm,RADIOBUTTONS,TRUE,,,,,,,,
