type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_option_Size,product_media_gallery_image_url_7
product_variation,52,8.62,,,,,,,,,BG110C_70646_70638,White / Black,,,,,,,,,,
product,53,8.62,Heuptasje Studio,100% polyester. Afneembaar etiket. Aanpasbare heupband met veilige sluiting. Groot hoofdvak met ritssluiting. Achterzak met rits.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206574&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206574&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196631&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196630&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196629&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196628&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,53,,,,,,,,,,,,Color,Jet Black,RADIOBUTTONS,TRUE,,,,,,
product_option,53,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,53,,,,,,,,,,,,Color,Silver,RADIOBUTTONS,TRUE,,,,,,
product_variation,53,8.62,,,,,,,,,BG144_70648_70647,Jet Black,,,,,,,,,One Size,
product_variation,53,8.62,,,,,,,,,BG144_70649_70647,Silver,,,,,,,,,,
product,54,13,Klein rugzakje Essential Fashion,Polyester 600D. Afneembaar etiket. Aanpasbare schouderbanden. Voorzak met rits. Gewatteerde achterkant. Hengsel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196627&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196627&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196624&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196626&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196625&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196623&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196622&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,54,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Color,Powder Blue,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Color,Powder Pink,RADIOBUTTONS,TRUE,,,,,,
product_option,54,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,
product_variation,54,13,,,,,,,,,BG153_70651_70650,Black,,,,,,,,,One Size,
product_variation,54,13,,,,,,,,,BG153_70652_70650,French Navy,,,,,,,,,,
product_variation,54,13,,,,,,,,,BG153_70653_70650,Light Grey,,,,,,,,,,
product_variation,54,13,,,,,,,,,BG153_70654_70650,Powder Blue,,,,,,,,,,
product_variation,54,13,,,,,,,,,BG153_70655_70650,Powder Pink,,,,,,,,,,
product_variation,54,13,,,,,,,,,BG153_70656_70650,White,,,,,,,,,,
product,55,25.18,Rugzak voor laptop Campus,"Polyester 600D. Afneembaar etiket. Geschikt voor laptops van max. 15,6. Gewatteerd vak voor laptop met toegang van buitenaf. Voorzak met rits. Gewatteerde achterkant. Aanpasbare en gewatteerde schouderbanden van mesh. Gewatteerd hengsel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206203&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206203&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196621&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196620&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196619&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196618&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,55,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,55,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,55,,,,,,,,,,,,Color,Navy Dusk,RADIOBUTTONS,TRUE,,,,,,
product_variation,55,25.18,,,,,,,,,BG265_70658_70657,Black,,,,,,,,,One Size,
product_variation,55,25.18,,,,,,,,,BG265_70659_70657,Navy Dusk,,,,,,,,,,
product,56,8.48,Schoenen- en accessoiretas Athleisure,Combinatie van 600D/420D polyester. Gemakkelijk te reinigen binnenkant. Verluchtingsgaatje. Achterzak van mesh. Hengsel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196617&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196616&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,56,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,,,,,
product_option,56,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,
product_variation,56,8.48,,,,,,,,,BG540_70667_70666,Black,,,,,,,,,One Size,
product_variation,56,8.48,,,,,,,,,BG540_70668_70666,Bright Royal,,,,,,,,,,
product_variation,56,8.48,,,,,,,,,BG540_70669_70666,Classic Red,,,,,,,,,,
product_variation,56,8.48,,,,,,,,,BG540_70670_70666,French Navy,,,,,,,,,,
product_variation,56,8.48,,,,,,,,,BG540_70671_70666,Lime Green,,,,,,,,,,
product_variation,56,8.48,,,,,,,,,BG540_70672_70666,Orange,,,,,,,,,,
product,57,27.48,Gerecyclede rugzak Roll-Top,"100% gerecycled 600D polyester. Afneembaar etiket. Gewatteerd vak voor laptop van max. 15,6. Hengsel. Koord met reflecterende details. Gevulde achterkant en verstevigde bodem. Aanpasbare, gewatteerde schouderbanden.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=346676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=346676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,57,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,57,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_variation,57,27.48,,,,,,,,,BG286_70661_70660,Black,,,,,,,,,One Size,
product,58,11.94,Heuptasje met organizer,Polyester 600D. Ring voor de kabeltjes van een headset. Aanpasbare heupriem. Sluithaak voor sleutels. Achterzak met rits. Binnenzak van mesh.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206209&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206209&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196606&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,58,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,58,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,58,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,58,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,,,,,
product_variation,58,11.94,,,,,,,,,BG53_70663_70662,Black,,,,,,,,,One Size,
product_variation,58,11.94,,,,,,,,,BG53_70664_70662,French Navy,,,,,,,,,,
product_variation,58,11.94,,,,,,,,,BG53_70665_70662,Graphite Grey,,,,,,,,,,
product,59,2.96,Personaliseerbare sleutelhanger,100% polyester. Sterke sluiting. Ontwikkeld voor decoratie. Canvas met hoge dichtheid.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196605&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196605&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196604&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196603&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196602&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196639&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196638&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,59,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Color,Grey,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,
product_option,59,,,,,,,,,,,,Color,Yellow,RADIOBUTTONS,TRUE,,,,,,
product_variation,59,2.96,,,,,,,,,BG100_70631_70630,Black,,,,,,,,,One Size,
product_variation,59,2.96,,,,,,,,,BG100_70632_70630,Grey,,,,,,,,,,
product_variation,59,2.96,,,,,,,,,BG100_70633_70630,Orange,,,,,,,,,,
product_variation,59,2.96,,,,,,,,,BG100_70634_70630,Red,,,,,,,,,,
product_variation,59,2.96,,,,,,,,,BG100_70635_70630,Royal,,,,,,,,,,
product_variation,59,2.96,,,,,,,,,BG100_70636_70630,Yellow,,,,,,,,,,
product,60,23.8,Rugzak met dubbel hengsel,100% polyester. Polyester 300D. Voorzak. Binnenzak met ritssluiting. Gevuld achterpaneel. Rolsluiting. Hengsels. Verstelbare en gevulde schouderriemen. Voorzak voor een gemakkelijke decoratie. TearAway-label voor eenvoudige bedrukking.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390285&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390285&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=395829&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267506&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,60,,,,,,,,,,,,Color,Airforce Blue,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Mustard,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Navy Dusk,RADIOBUTTONS,TRUE,,,,,,
product_option,60,,,,,,,,,,,,Color,Olive Green,RADIOBUTTONS,TRUE,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77361_77360,Airforce Blue,,,,,,,,,One Size,
product_variation,60,23.8,,,,,,,,,BG118_77362_77360,Black,,,,,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77363_77360,Burgundy,,,,,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77364_77360,Light Grey,,,,,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77365_77360,Mustard,,,,,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77366_77360,Navy Dusk,,,,,,,,,,
product_variation,60,23.8,,,,,,,,,BG118_77367_77360,Olive Green,,,,,,,,,,
product,61,2.74,Sleutelhanger,100% imitatieleer van polyurethaan. Fijnkorrelig saffianoleer. Sleutelhanger van glanzend metaal. Te gebruiken als sleutelhanger of handtasjuweel. Ontworpen voor decoratie.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387949&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387949&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387927&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387163&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387918&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,61,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Black / Gold,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Soft grey,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Soft pink,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Soft white,RADIOBUTTONS,TRUE,,,,,,
product_option,61,,,,,,,,,,,,Color,Tan,RADIOBUTTONS,TRUE,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83245_83244,Black,,,,,,,,,One Size,
product_variation,61,2.74,,,,,,,,,BG744_83246_83244,Black / Gold,,,,,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83247_83244,Navy,,,,,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83248_83244,Soft grey,,,,,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83249_83244,Soft pink,,,,,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83250_83244,Soft white,,,,,,,,,,
product_variation,61,2.74,,,,,,,,,BG744_83251_83244,Tan,,,,,,,,,,
product,62,2.74,Ronde sleutelhanger,100% imitatieleer van polyurethaan. Fijnkorrelig saffianoleer. Sleutelhanger van glanzend metaal. Te gebruiken als sleutelhanger of handtasjuweel. Ontworpen voor decoratie.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390284&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390284&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387928&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387921&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387919&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387160&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,62,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,LILAC,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Mustard,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Oyster,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Sage green,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Soft blue,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Soft grey,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Soft pink,RADIOBUTTONS,TRUE,,,,,,
product_option,62,,,,,,,,,,,,Color,Soft white,RADIOBUTTONS,TRUE,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83253_83252,Black,,,,,,,,,One Size,
product_variation,62,2.74,,,,,,,,,BG745_83254_83252,LILAC,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83255_83252,Mustard,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83256_83252,Oyster,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83257_83252,Sage green,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83258_83252,Soft blue,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83259_83252,Soft grey,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83260_83252,Soft pink,,,,,,,,,,
product_variation,62,2.74,,,,,,,,,BG745_83261_83252,Soft white,,,,,,,,,,
product,63,34.38,Gerecycleerde rugzak voor laptop,"100% polyester. 300D gerecycleerd polyester van 100% polyethyleentereftalaat, het equivalent van ongeveer 12 post-consumer petflessen. Geschikt voor laptops van max. 15,6. Gewatteerd en beveiligd laptopvak met toegang van buitenaf. Voorste zak met organizer. Voorste zak ontworpen voor een gemakkelijke decoratie. Drinkbuszak binnenin. Ritszak binnenin. Gewatteerde achterkant. Rolsluiting. Verstelbare gewatteerde schouderbanden. Handgrepen van canvas. Afneembaar TearAway-etiket, makkelijk opnieuw te labelen.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387926&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387926&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387925&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387162&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387159&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,63,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,63,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,63,,,,,,,,,,,,Color,Grey Marl,RADIOBUTTONS,TRUE,,,,,,
product_option,63,,,,,,,,,,,,Color,Mustard,RADIOBUTTONS,TRUE,,,,,,
product_option,63,,,,,,,,,,,,Color,Navy Dusk,RADIOBUTTONS,TRUE,,,,,,
product_variation,63,34.38,,,,,,,,,BG118L_83240_83238,Black,,,,,,,,,One Size,
product_variation,63,36.46,,,,,,,,,BG118LA_83241_83239,Grey Marl,,,,,,,,,,
product_variation,63,34.38,,,,,,,,,BG118L_83242_83238,Mustard,,,,,,,,,,
product_variation,63,34.38,,,,,,,,,BG118L_83243_83238,Navy Dusk,,,,,,,,,,
