type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_option_Size
product_option,201,,,,,,,,,,,Color,Navy Pure,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Off White,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Roasted Cofee,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Sport Grey,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,
product_variation,201,13.36,,,,,,,,CGPW461_82431_82424,Black,,,,,,,XS
product_variation,201,13.36,,,,,,,,CGPW461_82431_82425,Black,,,,,,,S
product_variation,201,13.36,,,,,,,,CGPW461_82431_82426,Black,,,,,,,M
product_variation,201,13.36,,,,,,,,CGPW461_82431_82427,Black,,,,,,,L
product_variation,201,13.36,,,,,,,,CGPW461_82431_82428,Black,,,,,,,XL
product_variation,201,13.36,,,,,,,,CGPW461_82431_82429,Black,,,,,,,XXL
product_variation,201,17.36,,,,,,,,CGPW461X_82432_82430,Black,,,,,,,3XL
product_variation,201,13.36,,,,,,,,CGPW461_82434_82424,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82434_82425,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82434_82426,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82434_82427,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82434_82428,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82434_82429,Blush Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82424,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82425,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82426,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82427,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82428,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82435_82429,Blush Mint,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82424,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82425,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82426,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82427,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82428,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82438_82429,Blush Pink,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82424,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82425,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82426,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82427,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82428,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82439_82429,Burgundy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82424,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82425,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82426,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82427,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82428,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82442_82429,Dark Forest,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82424,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82425,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82426,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82427,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82428,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82443_82429,Dark Grey,,,,,,,
product_variation,201,17.36,,,,,,,,CGPW461X_82444_82430,Dark Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82424,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82425,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82426,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82427,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82428,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82446_82429,Ivy Green,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82424,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82425,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82426,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82427,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82428,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82447_82429,Mastic,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82424,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82425,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82426,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82427,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82428,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82450_82429,Navy,,,,,,,
product_variation,201,17.36,,,,,,,,CGPW461X_82449_82430,Navy,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82424,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82425,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82426,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82427,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82428,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82451_82429,Navy Pure,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82424,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82425,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82426,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82427,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82428,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82454_82429,Off White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82424,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82425,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82426,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82427,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82428,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82455_82429,Red,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82424,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82425,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82426,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82427,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82428,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82458_82429,Roasted Cofee,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82424,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82425,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82426,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82427,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82428,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82459_82429,Royal Blue,,,,,,,
product_variation,201,17.36,,,,,,,,CGPW461X_82460_82430,Royal Blue,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82424,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82425,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82426,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82427,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82428,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82462_82429,Sport Grey,,,,,,,
product_variation,201,17.36,,,,,,,,CGPW461X_82461_82430,Sport Grey,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82424,White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82425,White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82426,White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82427,White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82428,White,,,,,,,
product_variation,201,13.36,,,,,,,,CGPW461_82463_82429,White,,,,,,,
product_variation,201,17.36,,,,,,,,CGPW461X_82464_82430,White,,,,,,,
product,202,19,MY POLO 180 Dames lange mouwen,"100% voorgesponnen Ring-Spun katoen (behalve Sport Grey: 90% voorgesponnen Ring-Spun katoen / 10% viscose). Tijdloos, klassiek, modern en gemakkelijk te dragen model, gemaakt van een hoogwaardige stof. Deze veelzijdige piquépolo met hoge dichtheid voelt zacht aan en heeft een goede bedrukkingskwaliteit. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 1501003X, Centexbel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=403493&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,B&C,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403493&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,202,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,Sport Grey,RADIOBUTTONS,TRUE,,,
product_option,202,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,
product_variation,202,19,,,,,,,,CGPW462_82473_82465,Black,,,,,,,XS
product_variation,202,19,,,,,,,,CGPW462_82473_82466,Black,,,,,,,S
product_variation,202,19,,,,,,,,CGPW462_82473_82467,Black,,,,,,,M
product_variation,202,19,,,,,,,,CGPW462_82473_82468,Black,,,,,,,L
product_variation,202,19,,,,,,,,CGPW462_82473_82469,Black,,,,,,,XL
product_variation,202,19,,,,,,,,CGPW462_82473_82470,Black,,,,,,,XXL
product_variation,202,24.7,,,,,,,,CGPW462X_82474_82472,Black,,,,,,,3XL
product_variation,202,19,,,,,,,,CGPW462_82476_82465,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82476_82466,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82476_82467,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82476_82468,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82476_82469,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82476_82470,Dark Grey,,,,,,,
product_variation,202,24.7,,,,,,,,CGPW462X_82475_82472,Dark Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82465,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82466,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82467,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82468,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82469,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82477_82470,Navy,,,,,,,
product_variation,202,24.7,,,,,,,,CGPW462X_82478_82472,Navy,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82465,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82466,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82467,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82468,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82469,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82480_82470,Red,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82465,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82466,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82467,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82468,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82469,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82481_82470,Royal Blue,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82465,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82466,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82467,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82468,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82469,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82484_82470,Sport Grey,,,,,,,
product_variation,202,24.7,,,,,,,,CGPW462X_82483_82472,Sport Grey,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82485_82465,White,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82485_82466,White,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82485_82467,White,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82485_82468,White,,,,,,,
product_variation,202,19,,,,,,,,CGPW462_82485_82469,White,,,,,,,
product_variation,202,24.7,,,,,,,,CGPW462X_82486_82471,White,,,,,,,
product_variation,202,24.7,,,,,,,,CGPW462X_82486_82472,White,,,,,,,
product,203,17.74,MY POLO 210 Dames korte mouwen,"100% voorgesponnen Ring-Spun katoen (behalve Sport Grey: 90% voorgesponnen Ring-Spun katoen / 10% viscose). Tijdloos model, een klassieke en moderne basic, gemaakt van een hoogwaardige stof. Deze piquépolo met hoge dichtheid voelt zacht aan en heeft een goede bedrukkingskwaliteit. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 1501003X, Centexbel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=403492&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,B&C,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403492&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,203,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,Sport Grey,RADIOBUTTONS,TRUE,,,
product_option,203,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,
product_variation,203,17.74,,,,,,,,CGPW463_82494_82487,Black,,,,,,,XS
product_variation,203,17.74,,,,,,,,CGPW463_82494_82488,Black,,,,,,,S
product_variation,203,17.74,,,,,,,,CGPW463_82494_82489,Black,,,,,,,M
product_variation,203,17.74,,,,,,,,CGPW463_82494_82490,Black,,,,,,,L
product_variation,203,17.74,,,,,,,,CGPW463_82494_82491,Black,,,,,,,XL
product_variation,203,17.74,,,,,,,,CGPW463_82494_82492,Black,,,,,,,XXL
product_variation,203,23.04,,,,,,,,CGPW463X_82495_82493,Black,,,,,,,3XL
product_variation,203,17.74,,,,,,,,CGPW463_82497_82487,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82497_82488,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82497_82489,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82497_82490,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82497_82491,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82497_82492,Dark Grey,,,,,,,
product_variation,203,23.04,,,,,,,,CGPW463X_82496_82493,Dark Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82487,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82488,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82489,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82490,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82491,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82498_82492,Navy,,,,,,,
product_variation,203,23.04,,,,,,,,CGPW463X_82499_82493,Navy,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82487,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82488,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82489,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82490,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82491,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82501_82492,Red,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82487,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82488,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82489,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82490,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82491,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82502_82492,Royal Blue,,,,,,,
product_variation,203,23.04,,,,,,,,CGPW463X_82503_82493,Royal Blue,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82487,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82488,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82489,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82490,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82491,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82505_82492,Sport Grey,,,,,,,
product_variation,203,23.04,,,,,,,,CGPW463X_82504_82493,Sport Grey,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82487,White,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82488,White,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82489,White,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82490,White,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82491,White,,,,,,,
product_variation,203,17.74,,,,,,,,CGPW463_82506_82492,White,,,,,,,
product_variation,203,23.04,,,,,,,,CGPW463X_82507_82493,White,,,,,,,
product,204,22.68,MY POLO 210 Dames lange mouwen,"100% voorgesponnen Ring-Spun katoen (behalve Sport Grey: 90% voorgesponnen Ring-Spun katoen / 10% viscose). Tijdloos model, een klassieke en moderne basic, gemaakt van een hoogwaardige stof. Deze piquépolo met hoge dichtheid voelt zacht aan en heeft een goede bedrukkingskwaliteit. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 1501003X, Centexbel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=403491&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,B&C,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403491&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,204,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,Sport Grey,RADIOBUTTONS,TRUE,,,
product_option,204,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,
product_variation,204,22.68,,,,,,,,CGPW464_82515_82508,Black,,,,,,,XS
product_variation,204,22.68,,,,,,,,CGPW464_82515_82509,Black,,,,,,,S
product_variation,204,22.68,,,,,,,,CGPW464_82515_82510,Black,,,,,,,M
product_variation,204,22.68,,,,,,,,CGPW464_82515_82511,Black,,,,,,,L
product_variation,204,22.68,,,,,,,,CGPW464_82515_82512,Black,,,,,,,XL
product_variation,204,22.68,,,,,,,,CGPW464_82515_82513,Black,,,,,,,XXL
product_variation,204,29.48,,,,,,,,CGPW464X_82516_82514,Black,,,,,,,3XL
product_variation,204,22.68,,,,,,,,CGPW464_82518_82508,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82518_82509,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82518_82510,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82518_82511,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82518_82512,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82518_82513,Dark Grey,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82508,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82509,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82510,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82511,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82512,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82519_82513,Navy,,,,,,,
product_variation,204,29.48,,,,,,,,CGPW464X_82520_82514,Navy,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82522_82508,Red,,,,,,,
product_variation,204,22.68,,,,,,,,CGPW464_82522_82509,Red,,,,,,,
