type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product_option,1003,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1003,,,,,,,,,,,,,Color,Light Titanium / Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1003,,,,,,,,,,,,,Color,Navy / Black,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1003,30.24,,,,,,,,,KI0649_74206_74205,Black,One Size,,,,,,,,,,,,
product_variation,1003,30.24,,,,,,,,,KI0649_74207_74205,Light Titanium / Black,,,,,,,,,,,,,
product_variation,1003,30.24,,,,,,,,,KI0649_74208_74205,Navy / Black,,,,,,,,,,,,,
product,1004,51.1,Gerecycleerde sporttas met dubbel zijvak,"100% polyester. Sporttas met dubbel zijvak, gemaakt van 50% gerecycleerd polyester. Meshpaneel in een van de twee zijvakken, ideaal voor het opbergen van natte kleding, met een meshzak in het andere vak. Inclusief voetenmatje om u om te kleden zonder op de grond te moeten staan.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1004,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1004,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1004,,,,,,,,,,,,,Color,Deep Blue / Black,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1004,51.1,,,,,,,,,KI0650_74210_74209,Black,One Size,,,,,,,,,,,,
product_variation,1004,51.1,,,,,,,,,KI0650_74211_74209,Deep Blue / Black,,,,,,,,,,,,,
product,1005,27.7,Gerecycleerde padelrugzak met racketvak,"100% polyester. Rugzak voor sporters, gemaakt van 60% gerecycleerd polyester. Ideaal voor de beoefening van padel. Gewatteerd zijvak voor het racket. Zijzak met ritssluiting voor spulletjes.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263370&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263370&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263368&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263369&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246352&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246351&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,1005,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1005,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1005,27.7,,,,,,,,,KI0651_74213_74212,Black,One Size,,,,,,,,,,,,
product,1006,49.24,Padelrugzak met dubbel racketvak,100% polyester. Speciale padelsport rugzak. Vak voor rackets aan beide kanten. Compartiment met apart schoenenvak. Groot volume.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246352&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246351&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331314&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1006,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1006,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1006,49.24,,,,,,,,,KI0652_74215_74214,Black,One Size,,,,,,,,,,,,
product,1007,14.46,Gerecycleerde buisvormige tas met zak op de voorkant,100% polyester 600D. Duffeltas in 50% gerecycleerd polyester. Zak met ritssluiting aan de voorkant. Verstelbare schouderriem.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263296&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263296&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277860&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331313&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Flamingo Pink,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Orange Zest,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Taupe,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1007,,,,,,,,,,,,,Color,Twilight Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74225_74224,Black,One Size,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74226_74224,Flamingo Pink,,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74227_74224,Matcha Green,,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74228_74224,Orange Zest,,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74229_74224,Red Safran,,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74230_74224,Taupe,,,,,,,,,,,,,
product_variation,1007,14.46,,,,,,,,,KI0655_74231_74224,Twilight Blue,,,,,,,,,,,,,
product,1008,20.64,"Essentiële, gerecycleerde sporttas",100% polyester. Essentiële sporttas in 50% gerecycleerd polyester. Zijzak met ritssluiting,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277815&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277815&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277812&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263367&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277813&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277814&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331316&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,1008,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1008,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1008,,,,,,,,,,,,,Color,Lemon Yellow,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1008,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1008,,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1008,,,,,,,,,,,,,Color,Sage,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1008,20.64,,,,,,,,,KI0653_74217_74216,Black,One Size,,,,,,,,,,,,
product_variation,1008,20.64,,,,,,,,,KI0653_74218_74216,Lemon Yellow,,,,,,,,,,,,,
product_variation,1008,20.64,,,,,,,,,KI0653_74219_74216,Matcha Green,,,,,,,,,,,,,
product_variation,1008,20.64,,,,,,,,,KI0653_74220_74216,Red Safran,,,,,,,,,,,,,
product_variation,1008,20.64,,,,,,,,,KI0653_74221_74216,Sage,,,,,,,,,,,,,
product,1009,11.56,Gerecycleerde tas voor yogamatje,100% polyester. Duffeltas in 60% gerecycleerd polyester. Zijzak met ritssluiting voor spulletjes. Ideaal om een matje en schone kleding mee te nemen voor uw yoga- of pilateslessen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266338&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266338&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1009,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1009,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1009,11.56,,,,,,,,,KI0654_74223_74222,Matcha Green,One Size,,,,,,,,,,,,
product,1010,2.7,Sleutelhanger met haak en lint,"100% polyester. Sleutelhanger in polyester, met een haakje waarmee hij aan de meeste ritsen kan worden bevestigd, als decoratief element. Door het grote gemak waarmee het lint kan worden bedrukt, kan het worden gebruikt voor de decoratie of personalisatie van elke tas of kledingstuk met een ritssluiting met schuiver.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266678&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266678&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Antique Bronze,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Deep Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Goose Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Ice Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Light Sand,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Light Titanium,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Off White,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Pink,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Purple,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1010,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80401_74201,Antique Bronze,One Size,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_74202_74201,Black,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80402_74201,Deep Red,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80403_74201,Goose Grey,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80404_74201,Ice Grey,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80405_74201,Light Sand,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80406_74201,Light Titanium,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80407_74201,Lime,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80408_74201,Navy,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80409_74201,Off White,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80410_74201,Orange,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80411_74201,Pink,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80412_74201,Purple,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80413_74201,Red,,,,,,,,,,,,,
product_variation,1010,2.7,,,,,,,,,KI0518_80414_74201,Royal Blue,,,,,,,,,,,,,
product,1011,3.46,Fleshouder met kerstmotieven,100 % jute. <br/>Schuifsluiting. <br/>Ook ideaal voor champagneflessen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383664&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383664&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1011,,,,,,,,,,,,,Color,Natural / Cherry Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1011,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1011,,,,,,,,,,,,,Color,Natural / Dark Green,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1011,3.46,,,,,,,,,KI0726_80426_80425,Natural / Cherry Red,One Size,,,,,,,,,,,,
product_variation,1011,3.46,,,,,,,,,KI0726_80427_80425,Natural / Dark Green,,,,,,,,,,,,,
product,1012,6.36,Shopper met kerstmotieven,100 % jute. Buitenzak van katoen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383663&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383663&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1012,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1012,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1012,6.36,,,,,,,,,KI0732_80429_80428,Natural,One Size,,,,,,,,,,,,
product,1013,7.3,Shopper met kerstmotieven,100 % katoen. <br/>Shopper met platte bodem.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383662&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383662&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1013,,,,,,,,,,,,,Color,Cherry Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1013,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1013,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1013,,,,,,,,,,,,,Color,Night Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1013,7.3,,,,,,,,,KI0733_80432_80430,Cherry Red,One Size,,,,,,,,,,,,
product_variation,1013,5.26,,,,,,,,,KI0733N_80433_80431,Natural,,,,,,,,,,,,,
product_variation,1013,7.3,,,,,,,,,KI0733_80434_80430,Night Navy,,,,,,,,,,,,,
product,1014,55.94,Waterdichte reisrugzak,100 % polyester. <br/>Extra grote tas die ook als rugzak kan worden gebruikt. <br/>Deze tas is 100 % waterdicht. Comfortabele riemen. <br/>Handgrepen voor een goede grip en gemakkelijk transport. <br/>Veiligheidsnaden op de riemen van de tas om hem te verstevigen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383667&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383667&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383669&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383666&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383670&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383671&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383668&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383665&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,1014,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1014,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1014,55.94,,,,,,,,,KI0657_80424_80423,Black,One Size,,,,,,,,,,,,
product,1015,39.2,Waterdichte opbergtas,"100 % polyester. <br/>Tas met schouderbanden, 100 % waterdicht. <br/>Roll-top-rolsluiting. <br/>Verschillende maten voor een grote inhoud. <br/>Ideaal voor watersporters of op de boot.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408893&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1015,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1015,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1015,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1015,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1015,39.2,,,,,,,,,KI0656_80419_80417,Black,XL,,,,,,,,,,,,
product_variation,1015,42.24,,,,,,,,,KI0656X_80420_80418,Black,XXL,,,,,,,,,,,,
product_variation,1015,39.2,,,,,,,,,KI0656_80422_80417,Light Grey,,,,,,,,,,,,,
product_variation,1015,42.24,,,,,,,,,KI0656X_80421_80418,Light Grey,,,,,,,,,,,,,
product,1016,5.64,Schoenentas,Schoenentas van 600D polyester. Piping in contrastkleur. 2 eyelets.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67775&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67775&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Black / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Capuccino / Orange,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Light Grey / Purple,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Navy / Slate Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Red / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1016,,,,,,,,,,,,,Color,Royal Blue / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_32362_32361,Black / Light Grey,One Size,,,,,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_32363_32361,Capuccino / Orange,,,,,,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_32364_32361,Light Grey / Purple,,,,,,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_40232_32361,Navy / Slate Grey,,,,,,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_42133_32361,Red / Light Grey,,,,,,,,,,,,,
product_variation,1016,5.64,,,,,,,,,KI0501_42134_32361,Royal Blue / Light Grey,,,,,,,,,,,,,
product,1017,30,Kofferbaktas,"Kofferbaktas in 600D polyester. 2 ruime compartimenten, voorvak, binnenvak met netvoering, opvouwbaar, metalen eylets.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=67779&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67779&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67776&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67777&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,1017,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1017,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1017,30,,,,,,,,,KI0507_37769_37768,Black,One Size,,,,,,,,,,,,
