type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product_option,2002,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2002,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2002,24.22,,,,,,,,,PR120_70591_70590,Black,,,,,,One Size,,,,,,,,,,
product_variation,2002,24.22,,,,,,,,,PR120_70592_70590,White,,,,,,,,,,,,,,,,
product,2003,11.14,Waterdicht kappersschort met lange mouwen,100% polyester met polyurethaancoating. Het schort gaat dicht rond de hals met een regelbaar sluitingssysteem. De lange mouwen zijn afgewerkt met een elastische manchet. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268371&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268371&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268370&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268369&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,2003,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2003,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2003,11.14,,,,,,,,,PR117_70585_70584,Black,,,,,,One Size,,,,,,,,,,
product,2004,9.72,Waterdicht dubbele stropdas loungejurk,100% polyester met polyurethaancoating. Rechte snit. Open zijzakken. De lange mouwen zijn afgewerkt met een elastische manchet. Twee riemen aan de nek en in het midden op de rug houden de bloes op zijn plaats. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268367&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268367&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268366&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268368&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,2004,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2004,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2004,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2004,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2004,9.72,,,,,,,,,PR118_70588_70586,Black,,,,,,S/M,,,,,,,,,,
product_variation,2004,9.72,,,,,,,,,PR118_70588_70587,Black,,,,,,L/XL,,,,,,,,,,
product_variation,2004,9.72,,,,,,,,,PR118_70589_70586,Navy,,,,,,,,,,,,,,,,
product_variation,2004,9.72,,,,,,,,,PR118_70589_70587,Navy,,,,,,,,,,,,,,,,
product,2005,11.86,Waterdichte tuniek,100% polyester met polyurethaancoating. Waterdicht en bestand tegen eau de javel. Riem aan de achterkant. Industrieel wassen op 85 °C. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275857&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275857&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275858&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275856&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275859&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2005,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2005,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2005,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2005,,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2005,11.86,,,,,,,,,PR174_70595_70593,Black,,,,,,S/M,,,,,,,,,,
product_variation,2005,11.86,,,,,,,,,PR174_70595_70594,Black,,,,,,L/XL,,,,,,,,,,
product_variation,2005,11.86,,,,,,,,,PR174_70596_70593,Royal,,,,,,,,,,,,,,,,
product_variation,2005,11.86,,,,,,,,,PR174_70596_70594,Royal,,,,,,,,,,,,,,,,
product,2006,58.54,Merinotrui rolkraag dames,"100% merino. Extra fijne gekamde wol. Gauge 14. Fully-fashioned: gebreid in de vorm en geassembleerd op de machine. Rolkraag, mouwuiteinden en onderkant in 1x1 ribboord.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=356826&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban Premium,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356826&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356825&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356824&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356823&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356822&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356829&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356830&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356827&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=356828&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=298433&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=298427&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372978&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372973&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,2006,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Color,Deep Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2006,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76113,Black,,,,,,XS,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76114,Black,,,,,,S,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76115,Black,,,,,,M,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76116,Black,,,,,,L,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76117,Black,,,,,,XL,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76119_76118,Black,,,,,,XXL,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76113,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76114,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76115,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76116,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76117,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76120_76118,Deep Navy,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76113,Grey Heather,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76114,Grey Heather,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76115,Grey Heather,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76116,Grey Heather,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76117,Grey Heather,,,,,,,,,,,,,,,,
product_variation,2006,58.54,,,,,,,,,PK913_76121_76118,Grey Heather,,,,,,,,,,,,,,,,
product,2007,21.22,Ecologische contrasterende schort  Barley,65% polyester / 35% katoen. Gerecycleerd polyester gemaakt van post-consumer plastic en duurzaam ontwikkeld katoen. Ringetjes en klinknagels. Contrasterende stiksels. Zijzakken en middenzak met rits. Verstelbare gesp in antiek messing op het halsriempje.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267987&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267987&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267986&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267975&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391757&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2007,,,,,,,,,,,,Color,Black / Charcoal,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2007,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2007,,,,,,,,,,,,Color,Green Olive / Chestnut,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2007,,,,,,,,,,,,Color,Khaki / Brown,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2007,,,,,,,,,,,,Color,Navy / Camel,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2007,21.22,,,,,,,,,PR121_77422_77421,Black / Charcoal,,,,,,One Size,,,,,,,,,,
product_variation,2007,21.22,,,,,,,,,PR121_77423_77421,Green Olive / Chestnut,,,,,,,,,,,,,,,,
product_variation,2007,21.22,,,,,,,,,PR121_77424_77421,Khaki / Brown,,,,,,,,,,,,,,,,
product_variation,2007,21.22,,,,,,,,,PR121_77425_77421,Navy / Camel,,,,,,,,,,,,,,,,
product,2008,33.82,Ecologische schort  Regenerate,"Natural Denim: 44% gerecycleerd katoen, 37%<br/>gerecycleerd polyester, 19% gerecycleerd viscose.<br/>Grey Denim: 55% gerecycleerd katoen, 36% gerecycleerd polyester, 9% gerecycleerd viscose.<br/>Black Denim: 53% gerecycleerd katoen, 41% gerecycleerd polyester, 6% gerecycleerd viscose.<br/>Indigo Denim: 58% gerecycleerd katoen, 36% gerecycleerd polyester, 6% gerecycleerd viscose. Gerecycleerd katoen, gerecycleerd polyester, vezelmix gemaakt van gerecycleerd denim. Schuine zijzakken met contrasterende boord. Geknoopte en verstelbare halsriem. Contrasterende stiksels. Verstelbare gesp in antiek messing op de halsriem.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=267984&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267984&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267988&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267985&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267983&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2008,,,,,,,,,,,,Color,Black Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2008,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2008,,,,,,,,,,,,Color,Grey Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2008,,,,,,,,,,,,Color,Indigo Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2008,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2008,33.82,,,,,,,,,PR122_77427_77426,Black Denim,,,,,,One Size,,,,,,,,,,
product_variation,2008,33.82,,,,,,,,,PR122_77428_77426,Grey Denim,,,,,,,,,,,,,,,,
product_variation,2008,33.82,,,,,,,,,PR122_77429_77426,Indigo Denim,,,,,,,,,,,,,,,,
product_variation,2008,33.82,,,,,,,,,PR122_77430_77426,Natural,,,,,,,,,,,,,,,,
product,2009,13.2,Ecologisch heren-T-shirt ‘Comis’ met knoopjeshals,60% katoen / 40% polyester. Duurzaam ontwikkeld katoen en gerecycleerd polyester van post-consumer plastic. T-shirt met korte mouwen. Ronde hals met knooplijst. Voelt zacht aan.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267982&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267982&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267981&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268101&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268105&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268106&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,2009,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Color,Grey Marl,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Color,Navy Marl,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2009,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77431,Black,,,,,,XS,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77432,Black,,,,,,S,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77433,Black,,,,,,M,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77434,Black,,,,,,L,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77435,Black,,,,,,XL,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77436,Black,,,,,,XXL,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77438_77437,Black,,,,,,3XL,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77431,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77432,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77433,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77434,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77435,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77436,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77439_77437,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77431,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77432,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77433,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77434,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77435,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77436,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77440_77437,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77431,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77432,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77433,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77434,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77435,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77436,White,,,,,,,,,,,,,,,,
product_variation,2009,13.2,,,,,,,,,PR219_77441_77437,White,,,,,,,,,,,,,,,,
product,2010,13.2,Ecologisch dames-T-shirt ‘Comis’ met knoopjeshals,60% katoen / 40% polyester. Duurzaam ontwikkeld katoen en gerecycleerd polyester van post-consumer plastic. T-shirt met korte mouwen. Ronde hals met knooplijst. Voelt zacht aan.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267977&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267977&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267976&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268107&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268109&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268108&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,2010,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Color,Grey Marl,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Color,Navy Marl,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2010,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77442,Black,,,,,,XS,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77443,Black,,,,,,S,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77444,Black,,,,,,M,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77445,Black,,,,,,L,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77446,Black,,,,,,XL,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77447,Black,,,,,,XXL,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77449_77448,Black,,,,,,3XL,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77442,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77443,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77444,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77445,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77446,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77447,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77450_77448,Grey Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77442,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77443,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77444,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77445,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77446,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77447,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77451_77448,Navy Marl,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77442,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77443,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77444,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77445,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77446,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77447,White,,,,,,,,,,,,,,,,
product_variation,2010,13.2,,,,,,,,,PR319_77452_77448,White,,,,,,,,,,,,,,,,
