type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29,product_media_gallery_image_url_30,product_variation_option_Size
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80340_80335,Washed Brandy,,,,,,,,,,,,,,,,,,,,,,,M
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80340_80336,Washed Brandy,,,,,,,,,,,,,,,,,,,,,,,L
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80340_80337,Washed Brandy,,,,,,,,,,,,,,,,,,,,,,,XL
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80340_80338,Washed Brandy,,,,,,,,,,,,,,,,,,,,,,,XXL
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80340_80339,Washed Brandy,,,,,,,,,,,,,,,,,,,,,,,3XL
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80334,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80335,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80336,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80337,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80338,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80341_80339,Washed dark navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80334,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80335,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80336,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80337,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80338,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product_variation,651,68.96,,,,,,,,,,,,,,,,,,,K599_80342_80339,Washed Dusky Khaki,,,,,,,,,,,,,,,,,,,,,,,
product,652,30.14,Heren overhemd Oxford lange mouwen,"70% katoen / 30% polyester. Oxford-stof. Fitted pasvorm. Gemakkelijk in onderhoud (EasyCare-behandeling). Kraag met baleinen. Knooplijst met toon-op-toon plastic knopen. Inzetsel aan de bovenkant van de rug. Verstelbare manchetten met twee knopen en afgeronde hoeken en een puntvormige mouwlijst met een knoop. Afgeronde boord en zoom met enkel stiksel. Geen merklabel, maar een maatlabel in de kraag voor eenvoudige personalisatie.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=378970&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Overhemd,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378970&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378969&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378968&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378967&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378966&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378963&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378965&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378964&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=378962&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402070&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402071&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,652,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80325,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,S
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80326,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,M
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80327,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,L
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80328,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,XL
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80329,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,XXL
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80330,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,3XL
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80332_80331,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,4XL
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80325,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80326,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80327,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80328,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80329,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80330,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,652,30.14,,,,,,,,,,,,,,,,,,,K595_80333_80331,White,,,,,,,,,,,,,,,,,,,,,,,
product,653,28.86,Dames stretch blouse korte mouwen,"97% katoen / 3% elasthan. Getailleerd overhemd en comfortabele pasvorm. Kraag zonder knopen. Toon op toon knopen. Plooitjes aan de achter- en zijkant. Mouwuiteinden omgezoomd. 1 extra knoop. Afgeronde onderkant. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/8, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=455217&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Overhemd,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455217&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455216&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455215&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455214&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374758&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,Light Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,Wine,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,653,,,,,,,,,,,,,,,,,,,,,,Color,Zinc,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35670,Black,,,,,,,,,,,,,,,,,,,,,,,XS
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35668,Black,,,,,,,,,,,,,,,,,,,,,,,S
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35667,Black,,,,,,,,,,,,,,,,,,,,,,,M
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35665,Black,,,,,,,,,,,,,,,,,,,,,,,L
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35669,Black,,,,,,,,,,,,,,,,,,,,,,,XL
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35666_35671,Black,,,,,,,,,,,,,,,,,,,,,,,XXL
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35670,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35668,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35667,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35665,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35669,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35672_35671,Light Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35670,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35668,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35667,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35665,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35669,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_46069_35671,Navy,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35670,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35668,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35667,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35665,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35669,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35673_35671,White,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35670,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35668,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35667,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35665,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35669,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_48605_35671,Wine,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35670,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35668,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35667,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35665,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35669,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product_variation,653,28.86,,,,,,,,,,,,,,,,,,,K532_35674_35671,Zinc,,,,,,,,,,,,,,,,,,,,,,,
product,654,29.36,Heren Oxford overhemd lange mouwen,"70% oxford katoen / 30% polyester. Gemakkelijk in onderhoud ( Easy Care). Button down. Toon op toon knopen. Borstzakje. Dubbel inzetstuk op de rug en 2 plooitjes. Omgeslagen mouwuiteinden met 2 knopen. Verstelbare omgeslagen mouwen. 2 extra knopen. Afgerond boord aan de onderkant. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=455211&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Overhemd,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455211&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455212&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455213&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455209&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455210&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455208&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455207&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455206&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=455205&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,5XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Size,6XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Cobalt Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Pale Pink,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Shadow Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Silver,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Zinc,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,654,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35692,Black,,,,,,,,,,,,,,,,,,,,,,,S
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35691,Black,,,,,,,,,,,,,,,,,,,,,,,M
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35690,Black,,,,,,,,,,,,,,,,,,,,,,,L
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35693,Black,,,,,,,,,,,,,,,,,,,,,,,XL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35694,Black,,,,,,,,,,,,,,,,,,,,,,,XXL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35685,Black,,,,,,,,,,,,,,,,,,,,,,,3XL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35687,Black,,,,,,,,,,,,,,,,,,,,,,,4XL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35688,Black,,,,,,,,,,,,,,,,,,,,,,,5XL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76737_35689,Black,,,,,,,,,,,,,,,,,,,,,,,6XL
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35692,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35691,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35690,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35693,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35694,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35685,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35687,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35688,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_35686_35689,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76738_35692,Oxford Cobalt Blue,,,,,,,,,,,,,,,,,,,,,,,
product_variation,654,29.36,,,,,,,,,,,,,,,,,,,K533C_76738_35691,Oxford Cobalt Blue,,,,,,,,,,,,,,,,,,,,,,,
