type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_option_Size
product_variation,2201,84.98,,,,,,,,,R500X_70756_70751,Fluorescent Orange,,,,,,,,,,,,,,M
product_variation,2201,84.98,,,,,,,,,R500X_70756_70752,Fluorescent Orange,,,,,,,,,,,,,,L
product_variation,2201,84.98,,,,,,,,,R500X_70756_70753,Fluorescent Orange,,,,,,,,,,,,,,XL
product_variation,2201,84.98,,,,,,,,,R500X_70756_70754,Fluorescent Orange,,,,,,,,,,,,,,XXL
product_variation,2201,84.98,,,,,,,,,R500X_70756_70755,Fluorescent Orange,,,,,,,,,,,,,,3XL
product_variation,2201,84.98,,,,,,,,,R500X_70757_70750,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70757_70751,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70757_70752,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70757_70753,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70757_70754,Fluorescent Yellow,,,,,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70757_70755,Fluorescent Yellow,,,,,,,,,,,,,,
product,2202,26.56,Gerecyclede veiligheidspolo,"Lichaam: 100% gerecycled polyester. Kraag: 100% polyester. Duurzaam en superieur kwaliteitsgaren. Gemaakt van petflessen. Ademende en comfortabele veiligheidspolo in gerecycled tricot met stretchtechnologie. Sierstiksels aan de schouders en mouwboorden. Bedrukt met rekbare, reflecterende details. Donkere panelen in de taille en in de kraag. Knooplijst met 3 knopen en reserveknopen. Ribkraag met stretch. Norm High Viz: EN ISO 20471: 2013+A1: 2016 Klasse 2 (RIS-3279-TOM Klasse 2 (enkel oranje model)).",https://media.europeancatalog.com/ws.php?act=download&mamfileid=392465&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392465&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392464&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2202,,,,,,,,,,,,Color,Orange / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2202,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2202,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2202,,,,,,,,,,,,Size,XXL/3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2202,,,,,,,,,,,,Color,Yellow / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2202,26.56,,,,,,,,,R501X_70761_70758,Orange / Black,,,,,,,,,,,,,,S/M
product_variation,2202,26.56,,,,,,,,,R501X_70761_70759,Orange / Black,,,,,,,,,,,,,,L/XL
product_variation,2202,26.56,,,,,,,,,R501X_70761_70760,Orange / Black,,,,,,,,,,,,,,XXL/3XL
product_variation,2202,26.56,,,,,,,,,R501X_70762_70758,Yellow / Black,,,,,,,,,,,,,,
product_variation,2202,26.56,,,,,,,,,R501X_70762_70759,Yellow / Black,,,,,,,,,,,,,,
product_variation,2202,26.56,,,,,,,,,R501X_70762_70760,Yellow / Black,,,,,,,,,,,,,,
product,2203,24.26,Gerecycled veiligheids-T-shirt,"Lichaam: 100% gerecycled polyester. Kraag: 100% polyester. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Ademend en comfortabel veiligheids-T-shirt. High Tech Stretch-technologie. Sierstiksels aan de schouders en mouwboorden. Bedrukt met rekbare, reflecterende details. Donkere panelen in de taille en in de kraag. Ribkraag met stretch. Norm High Viz: EN ISO 20471: 2013+A1: 2016 Klasse 2 (RIS-3279-TOM Klasse 2 (enkel oranje model)).",https://media.europeancatalog.com/ws.php?act=download&mamfileid=392463&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392463&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,2203,,,,,,,,,,,,Color,Orange / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2203,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2203,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2203,,,,,,,,,,,,Size,XXL/3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2203,,,,,,,,,,,,Color,Yellow / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2203,24.26,,,,,,,,,R502X_70766_70763,Orange / Black,,,,,,,,,,,,,,S/M
product_variation,2203,24.26,,,,,,,,,R502X_70766_70764,Orange / Black,,,,,,,,,,,,,,L/XL
product_variation,2203,24.26,,,,,,,,,R502X_70766_70765,Orange / Black,,,,,,,,,,,,,,XXL/3XL
product_variation,2203,24.26,,,,,,,,,R502X_70767_70763,Yellow / Black,,,,,,,,,,,,,,
product_variation,2203,24.26,,,,,,,,,R502X_70767_70764,Yellow / Black,,,,,,,,,,,,,,
product_variation,2203,24.26,,,,,,,,,R502X_70767_70765,Yellow / Black,,,,,,,,,,,,,,
product,2204,32.08,Gerecyclede herensoftshelljas,100% gerecycled polyester. Gemaakt van petflessen. Softshell 2 lagen. Buitenlaag: gerecycled TOPGREEN ® polyester. Binnenlaag: gerecycled microfleece polyester. YKK-ritssluiting met kinbescherming. Manchetten met omboorde randen. Zijzakken met rits. Plat stiksel op de zoom. Ophanglus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392555&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392555&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392557&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392556&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391801&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,2204,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2204,,,,,,,,,,,,Color,Workguard Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70801_70794,Black,,,,,,,,,,,,,,S
product_variation,2204,32.08,,,,,,,,,R901M_70801_70795,Black,,,,,,,,,,,,,,M
product_variation,2204,32.08,,,,,,,,,R901M_70801_70796,Black,,,,,,,,,,,,,,L
product_variation,2204,32.08,,,,,,,,,R901M_70801_70797,Black,,,,,,,,,,,,,,XL
product_variation,2204,32.08,,,,,,,,,R901M_70801_70798,Black,,,,,,,,,,,,,,XXL
product_variation,2204,32.08,,,,,,,,,R901M_70801_70799,Black,,,,,,,,,,,,,,3XL
product_variation,2204,32.08,,,,,,,,,R901M_70802_70794,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70802_70795,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70802_70796,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70802_70797,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70802_70798,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_70802_70799,Navy,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70794,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70795,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70796,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70797,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70798,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82263_70799,Royal,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70794,Workguard Grey,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70795,Workguard Grey,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70796,Workguard Grey,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70797,Workguard Grey,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70798,Workguard Grey,,,,,,,,,,,,,,
product_variation,2204,32.08,,,,,,,,,R901M_82264_70799,Workguard Grey,,,,,,,,,,,,,,
product,2205,32.08,Gerecyclede damessoftshelljas,100% gerecycled polyester. Gemaakt van petflessen. Softshell 2 lagen. Buitenlaag: gerecycled TOPGREEN ® polyester. Binnenlaag: gerecycled microfleece polyester. YKK-ritssluiting met kinbescherming. Manchetten met omboorde randen. Zijzakken met rits. Plat stiksel op de zoom. Ophanglus. <br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392558&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392558&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392556&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392559&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392557&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391801&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,2205,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2205,,,,,,,,,,,,Color,Workguard Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70792_70786,Black,,,,,,,,,,,,,,XS
product_variation,2205,32.08,,,,,,,,,R901F_70792_70787,Black,,,,,,,,,,,,,,S
product_variation,2205,32.08,,,,,,,,,R901F_70792_70788,Black,,,,,,,,,,,,,,M
product_variation,2205,32.08,,,,,,,,,R901F_70792_70789,Black,,,,,,,,,,,,,,L
product_variation,2205,32.08,,,,,,,,,R901F_70792_70790,Black,,,,,,,,,,,,,,XL
product_variation,2205,32.08,,,,,,,,,R901F_70792_70791,Black,,,,,,,,,,,,,,XXL
product_variation,2205,32.08,,,,,,,,,R901F_70793_70786,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70793_70787,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70793_70788,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70793_70789,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70793_70790,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_70793_70791,Navy,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70786,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70787,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70788,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70789,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70790,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82261_70791,Royal,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70786,Workguard Grey,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70787,Workguard Grey,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70788,Workguard Grey,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70789,Workguard Grey,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70790,Workguard Grey,,,,,,,,,,,,,,
product_variation,2205,32.08,,,,,,,,,R901F_82262_70791,Workguard Grey,,,,,,,,,,,,,,
product,2206,27.48,Thermisch fleece jasje van gerecyclede fleece,100% polyester. 100% gerecycled polyester. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Ecologische YKK NATULON® ritssluiting vooraan. Ophanglus. Mooie sierstiksels op het lichaam. Ritszakken aan de zijkant met fleecevoering. Omboorde en zachte manchetten en tailleband. Dichte vezels. Vochtafdrijvend en sneldrogend.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=276551&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=276551&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392547&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392548&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392546&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392549&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392544&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392545&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392543&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392541&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392542&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392540&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,
product_option,2206,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Color,Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2206,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70811_70803,Black,,,,,,,,,,,,,,XS
product_variation,2206,27.48,,,,,,,,,R903X_70811_70804,Black,,,,,,,,,,,,,,S
product_variation,2206,27.48,,,,,,,,,R903X_70811_70805,Black,,,,,,,,,,,,,,M
product_variation,2206,27.48,,,,,,,,,R903X_70811_70806,Black,,,,,,,,,,,,,,L
product_variation,2206,27.48,,,,,,,,,R903X_70811_70807,Black,,,,,,,,,,,,,,XL
product_variation,2206,27.48,,,,,,,,,R903X_70811_70808,Black,,,,,,,,,,,,,,XXL
product_variation,2206,27.48,,,,,,,,,R903X_70811_70809,Black,,,,,,,,,,,,,,3XL
product_variation,2206,27.48,,,,,,,,,R903X_70811_70810,Black,,,,,,,,,,,,,,4XL
product_variation,2206,27.48,,,,,,,,,R903X_82265_70803,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70804,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70805,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70806,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70807,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70808,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70809,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82265_70810,Forest Green,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70803,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70804,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70805,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70806,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70807,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70808,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70809,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82266_70810,Grey,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70803,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70804,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70805,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70806,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70807,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70808,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70809,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_70812_70810,Navy,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70803,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70804,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70805,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70806,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70807,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70808,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70809,White,,,,,,,,,,,,,,
product_variation,2206,27.48,,,,,,,,,R903X_82267_70810,White,,,,,,,,,,,,,,
product,2207,25.18,Jasje met capuchon in gerecyclede microfleece,100% gerecycled polyester. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Ecologische YKK NATULON® ritssluiting met kinbescherming vooraan. Ophanglus. Mooie sierstiksels op het lichaam. Ingewerkte capuchon. Zijzakken. Omboorde en zachte manchetten en tailleband. Sneldrogend (Quick Dry).,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198306&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=303838&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=303837&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392533&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392534&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,2207,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2207,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2207,25.18,,,,,,,,,R906X_70829_70822,Black,,,,,,,,,,,,,,XS
product_variation,2207,25.18,,,,,,,,,R906X_70829_70823,Black,,,,,,,,,,,,,,S
product_variation,2207,25.18,,,,,,,,,R906X_70829_70824,Black,,,,,,,,,,,,,,M
product_variation,2207,25.18,,,,,,,,,R906X_70829_70825,Black,,,,,,,,,,,,,,L
product_variation,2207,25.18,,,,,,,,,R906X_70829_70826,Black,,,,,,,,,,,,,,XL
product_variation,2207,25.18,,,,,,,,,R906X_70829_70827,Black,,,,,,,,,,,,,,XXL
product_variation,2207,25.18,,,,,,,,,R906X_70829_70828,Black,,,,,,,,,,,,,,3XL
