type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_variation_option_Size,product_media_gallery_image_url_10,product_media_gallery_image_url_11
product,2653,13.26,Mesh reflecterendesportgilet,"100% polyester. Ademend en fluorescerend gilet met microgaatjes, voldoet aan de norm EN13356:2001, klasse 2.Reflecterende strook van 3M Scotchlite. Klittenbandsluiting op de zijkanten. Dit product voldoet aan de optische prestatie-eisen voor accessoires die bedoeld zijn om door mensen te worden gedragen, en is ontworpen voor niet-professioneel gebruik.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197664&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Kleding,Overgooier,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197664&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197663&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197662&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197978&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197975&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197977&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197976&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375321&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375329&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2653,,,,,,,,,,,,,Color,Fluorescent Fuchsia,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2653,,,,,,,,,,,,,Size,M/L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2653,,,,,,,,,,,,,Size,XL/XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2653,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2653,13.26,,,,,,,,,,WKP705_67566_67564,Fluorescent Fuchsia,,,,,,,,,,,M/L,,
product_variation,2653,13.26,,,,,,,,,,WKP705_67566_67565,Fluorescent Fuchsia,,,,,,,,,,,XL/XXL,,
product_variation,2653,13.26,,,,,,,,,,WKP705_67567_67564,Fluorescent Yellow,,,,,,,,,,,,,
product_variation,2653,13.26,,,,,,,,,,WKP705_67567_67565,Fluorescent Yellow,,,,,,,,,,,,,
product,2654,18.34,Regelbare reflecterendeband,"100% polyester. Regelbare signalisatieklittenband van polyester, voldoet aan de norm EN13356:2001, klasse 2.Reflecterende strook van 3M Scotchlite. Gemakkelijk regelbaar, voor gebruik boven zowel een T-shirt als een winterjas. Dit product voldoet aan de optische prestatie-eisen voor accessoires die bedoeld zijn om door mensen te worden gedragen, en is ontworpen voor niet-professioneel gebruik.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197661&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Hoed en accessoires,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197661&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197660&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197659&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375316&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375311&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,2654,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2654,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2654,18.34,,,,,,,,,,WKP707_67569_67568,Fluorescent Yellow,,,,,,,,,,,One Size,,
product,2655,17.84,Verstelbare riem,100% polyamide. Dankzij de knijpgesp kan de lengte van de riemsluiting worden geregeld en zo worden aangepast van maat S tot 2XL.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197974&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Kledingaccessoires,Riem,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197974&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197973&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197972&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197971&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422500&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422504&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422503&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422502&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,2655,,,,,,,,,,,,,Color,Black / Pearl Gun,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2655,,,,,,,,,,,,,Size,M/L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2655,,,,,,,,,,,,,Size,XL/XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2655,,,,,,,,,,,,,Color,Navy / Old Silver,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2655,17.84,,,,,,,,,,WKP817_67572_67570,Black / Pearl Gun,,,,,,,,,,,M/L,,
product_variation,2655,17.84,,,,,,,,,,WKP817_67572_67571,Black / Pearl Gun,,,,,,,,,,,XL/XXL,,
product_variation,2655,17.84,,,,,,,,,,WKP817_67573_67570,Navy / Old Silver,,,,,,,,,,,,,
product_variation,2655,17.84,,,,,,,,,,WKP817_67573_67571,Navy / Old Silver,,,,,,,,,,,,,
product,2656,5.46,Contrasterende sandwichpet 6 panelen Oeko-Tex,"65% katoen / 35% polyester. Pet 6 panelen Oeko-Tex-certificaat. Verstelbaar door middel van klittenbandsluiting. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/8, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=257243&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257243&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257242&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257249&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257244&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197635&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197634&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257740&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422500&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422504&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422503&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422502&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,2656,,,,,,,,,,,,,Color,Black / Kelly Green,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Black / Silver,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Black / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Camel / Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Khaki / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Navy / Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Navy / Light Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Navy / Silver,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,Shale Grey / Light Grey,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2656,,,,,,,,,,,,,Color,White / Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67557_67556,Black / Kelly Green,,,,,,,,,,,One Size,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67558_67556,Black / Orange,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67559_67556,Black / Red,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67560_67556,Black / Silver,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71062_67556,Black / White,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67561_67556,Black / Yellow,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_77060_67556,Camel / Black,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71063_67556,Khaki / Light Grey,,,,,,,,,,,,,
product_variation,2656,5.84,,,,,,,,,,WKP145CC_77061_77059,Navy / Fluorescent Yellow,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67562_67556,Navy / Light Royal Blue,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_67563_67556,Navy / Silver,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71064_67556,Navy / White,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71065_67556,Royal Blue / White,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71066_67556,Shale Grey / Light Grey,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_77062_67556,White / Navy,,,,,,,,,,,,,
product_variation,2656,5.46,,,,,,,,,,WKP145_71067_67556,White / Royal Blue,,,,,,,,,,,,,
product,2657,5.54,Unisex bandanapet,"65% polyester / 35% katoen. Twillstof. Norm ISO 15797 Industrieel wassen 75 °C (20 wasbeurten). Verstelbaar met linten aan de achterkant. Ruimtesplit achteraan. Voorste binnenband van badstof, voor een optimaal comfort.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=254799&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Bandana hoed,https://media.europeancatalog.com/ws.php?act=download&mamfileid=254799&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=254797&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=254798&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255120&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255116&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255108&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255110&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,2657,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,Emerald Green,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,Pale Pink,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,Sky Blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,Snow Grey,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2657,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76570_76569,Black,,,,,,,,,,,One Size,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76571_76569,Emerald Green,,,,,,,,,,,,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76572_76569,Navy,,,,,,,,,,,,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76573_76569,Pale Pink,,,,,,,,,,,,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76574_76569,Sky Blue,,,,,,,,,,,,,
product_variation,2657,5.54,,,,,,,,,,WKP101C_76575_76569,Snow Grey,,,,,,,,,,,,,
product_variation,2657,5.04,,,,,,,,,,WKP101_76576_76568,White,,,,,,,,,,,,,
product,2658,10.14,Multifunctionele werkhandschoen,"Polyurethaan / Polyester / Elasthan / Geitenleder. Multifunctionele, high performance werkhandschoenen. De handschoenen voldoen aan normen EN 388:2016+A1:2018 en EN ISO 21420. Deze praktische en aansluitende handschoenen verlichten al uw dagelijkse taken. De toepassingen zijn eindeloos: winkel, thuis, leveringen, schoonmaak, bouw, onderhoud van installaties, manoeuvres, tuinieren, …<br/>Touchscreen-functie: werkhandschoenen met verstevigde vingertoppen met touchscreen-functie, in een ademende en comfortabele stof. Elastische, stoffen mouwboord met klittenbandsluiting.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=258300&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Handschoenen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=258300&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257217&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=257218&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Color,Convoy Grey / Black / Silver,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2658,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2658,10.14,,,,,,,,,,WKP814_76588_76583,Convoy Grey / Black / Silver,,,,,,,,,,,S,,
product_variation,2658,10.14,,,,,,,,,,WKP814_76588_76584,Convoy Grey / Black / Silver,,,,,,,,,,,M,,
product_variation,2658,10.14,,,,,,,,,,WKP814_76588_76585,Convoy Grey / Black / Silver,,,,,,,,,,,L,,
product_variation,2658,10.14,,,,,,,,,,WKP814_76588_76586,Convoy Grey / Black / Silver,,,,,,,,,,,XL,,
product_variation,2658,10.14,,,,,,,,,,WKP814_76588_76587,Convoy Grey / Black / Silver,,,,,,,,,,,XXL,,
product,2659,128.16,Signalisatiejasje Fontaine,"Waterdicht en ademend jasje in polyester, gemaakt van fijn geruite ripstop-stof. Uitneembare voering van Sherpa-wolfleece. Dubbele, reflecterende stroken van 5 cm die op het lichaam en elke mouw zijn genaaid. Twee reflecterende stroken op de bovenkant van de schouders. Borstzak met waterdichte klittenbandsluiting. Zakjes voor een pen en gsm op de linkermouw. Afneembare capuchon. Ritssluiting in twee richtingen. Voldoet aan normen EN ISO20471 Categorie 3.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=265787&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Yoko,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265787&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265784&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265803&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265805&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=393695&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=393694&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394421&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394420&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2659,,,,,,,,,,,,,Color,Hi Vis Orange / Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Color,Hi Vis Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Color,Hi Vis Yellow / Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2659,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77776,Hi Vis Orange / Navy,,,,,,,,,,,S,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77777,Hi Vis Orange / Navy,,,,,,,,,,,M,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77778,Hi Vis Orange / Navy,,,,,,,,,,,L,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77779,Hi Vis Orange / Navy,,,,,,,,,,,XL,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77780,Hi Vis Orange / Navy,,,,,,,,,,,XXL,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77782_77781,Hi Vis Orange / Navy,,,,,,,,,,,3XL,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77776,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77777,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77778,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77779,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77780,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77783_77781,Hi Vis Yellow,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77776,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77777,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77778,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77779,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77780,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77784_77781,Hi Vis Yellow / Navy,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77776,Orange,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77777,Orange,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77778,Orange,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77779,Orange,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77780,Orange,,,,,,,,,,,,,
product_variation,2659,128.16,,,,,,,,,,YHVP209_77785_77781,Orange,,,,,,,,,,,,,
product,2660,18.3,Tweekleurig signalisatie-T-shirt,"100% polyester. Gemaakt van ademende en sneldrogende, zachte en aangename Aircool-stof met ringetjes. 2 brede, horizontale en reflecterende stroken. Contrasterende inzetsels in navy op de schouders, in de kraag, aan de mouwboorden en op de taille. Zijsplitten met verstevigde naden. Zonder etiket. Conform certificering EN ISO 20471 Klasse 2. Ook de signalisatiekleur Orange/Navy is conform RIS-3279-TOM Railway. Wassen op maximaal 40 °C. Niet industrieel reinigen. Maximale wascyclus van 25.<br/>",https://media.europeancatalog.com/ws.php?act=download&mamfileid=393700&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Yoko,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=393700&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=393701&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2660,,,,,,,,,,,,,Color,Hi Vis Orange / Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2660,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2660,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2660,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2660,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
