type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6
product_option,957,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,
product_option,957,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,
product_option,957,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,
product_variation,957,4.76,,,,,,,,KI0376S_74177_74174,Natural / White,S,,,,,,,,,
product_variation,957,6.4,,,,,,,,KI0376M_74178_74175,Natural / White,M,,,,,,,,,
product_variation,957,8.1,,,,,,,,KI0376L_74179_74176,Natural / White,L,,,,,,,,,
product,958,21.3,Tas voor tablet en laptop,"100% katoen. Katoenen werktas. Gewatteerd vak voor tablet of laptop tot 15 inch. Op de voor- en achterzijde zit dezelfde zak met ritssluiting, voor eenvoudige personalisatie aan beide zijden. De handgrepen zijn gemaakt van hetzelfde materiaal als de tas zelf.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263298&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263298&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263297&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277819&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=308713&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331297&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,
product_option,958,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,958,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,958,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,
product_option,958,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,958,,,,,,,,,,,,Color,Snow Grey,RADIOBUTTONS,TRUE,,,,,
product_variation,958,21.3,,,,,,,,KI0434_74191_74189,Black,One Size,,,,,,,,,
product_variation,958,17.14,,,,,,,,KI0434N_74192_74190,Natural,,,,,,,,,,
product_variation,958,21.3,,,,,,,,KI0434_74193_74189,Navy,,,,,,,,,,
product_variation,958,21.3,,,,,,,,KI0434_74194_74189,Snow Grey,,,,,,,,,,
product,959,25.44,Werktas met schouderriem,"100% katoen. Katoenen documententas met verstelbare schouderriem. Dubbele zak met ritsen aan de zijkant, voor een 100% personaliseerbaar product. Gewatteerd hoofdvak voor een laptop tot 15 inch.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266669&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266669&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,959,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,959,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,959,,,,,,,,,,,,Color,Dark Grey / Curcuma,RADIOBUTTONS,TRUE,,,,,
product_option,959,,,,,,,,,,,,Color,Light Titanium / Black,RADIOBUTTONS,TRUE,,,,,
product_variation,959,25.44,,,,,,,,KI0435_74196_74195,Black,One Size,,,,,,,,,
product_variation,959,25.44,,,,,,,,KI0435_74197_74195,Dark Grey / Curcuma,,,,,,,,,,
product_variation,959,25.44,,,,,,,,KI0435_74198_74195,Light Titanium / Black,,,,,,,,,,
product,960,6.9,Extra grote shopper van katoen,"100% katoen. Katoenen shopper, versie extra large. De hengsels zijn gemaakt van dezelfde stof als de tas zelf. 100% personaliseerbaar. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,960,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,960,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,960,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,
product_variation,960,6.9,,,,,,,,KI0296_74133_74132,Black,One Size,,,,,,,,,
product_variation,960,4.9,,,,,,,,KI0296N_74134_74131,Natural,,,,,,,,,,
product,961,11.3,XXL shopper,"100% katoen. Klassieke shopper, maat extra large. Hengsels in katoenlint in contrasterende kleuren. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,961,,,,,,,,,,,,Color,Black / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,961,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,961,,,,,,,,,,,,Color,Natural / Black,RADIOBUTTONS,TRUE,,,,,
product_option,961,,,,,,,,,,,,Color,Navy / Natural,RADIOBUTTONS,TRUE,,,,,
product_variation,961,11.3,,,,,,,,KI0297_74137_74135,Black / Natural,One Size,,,,,,,,,
product_variation,961,7.8,,,,,,,,KI0297N_74138_74136,Natural / Black,,,,,,,,,,
product_variation,961,11.3,,,,,,,,KI0297_74139_74135,Navy / Natural,,,,,,,,,,
product,962,9.54,Shopper van katoen en verlijmde jutedraad,100% jute + 100% katoen. Klassieke shopper met een onderpaneel in gelamineerd jute en een katoenen hoofdpaneel voor eenvoudige personalisatie. Katoenen hengsels.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266671&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266671&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408929&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,962,,,,,,,,,,,,Color,Arandano Red / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Black / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Cumin Yellow / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Dusty Light Green / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Ice Mint / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Light Sand / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Minorca Navy / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Sage / Natural,RADIOBUTTONS,TRUE,,,,,
product_option,962,,,,,,,,,,,,Color,Snow Grey / Natural,RADIOBUTTONS,TRUE,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74142_74140,Arandano Red / Natural,One Size,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74143_74140,Black / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74144_74140,Cumin Yellow / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74145_74140,Dusty Light Green / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74146_74140,Ice Mint / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74147_74140,Light Sand / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74148_74140,Minorca Navy / Natural,,,,,,,,,,
product_variation,962,8,,,,,,,,KI0298N_74149_74141,Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74150_74140,Sage / Natural,,,,,,,,,,
product_variation,962,9.54,,,,,,,,KI0298_74151_74140,Snow Grey / Natural,,,,,,,,,,
product,963,10.84,Gerecycleerde koelshopper,75% gerecycleerd katoen / 22% gerecycleerd polyester / 3% andere vezels. 100% personaliseerbare zak aan de voorkant. Ritssluiting aan de bovenkant.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266274&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266274&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,963,,,,,,,,,,,,Color,Black Night / Hemp,RADIOBUTTONS,TRUE,,,,,
product_option,963,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,
product_option,963,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,
product_option,963,,,,,,,,,,,,Color,Ecume / Hemp,RADIOBUTTONS,TRUE,,,,,
product_variation,963,10.84,,,,,,,,KI0378S_74182_74180,Black Night / Hemp,S,,,,,,,,,
product_variation,963,15.56,,,,,,,,KI0378M_74183_74181,Black Night / Hemp,M,,,,,,,,,
product_variation,963,10.84,,,,,,,,KI0378S_74185_74180,Ecume / Hemp,,,,,,,,,,
product_variation,963,15.56,,,,,,,,KI0378M_74184_74181,Ecume / Hemp,,,,,,,,,,
product,964,13.4,Katoenen handtas met schouderriem,100% katoen. Katoenen schouderriem. Hoofdvak met ritssluiting. Grote voorzak met nog een verticale zak met rits voor eenvoudige personalisatie. Verstelbare schouderriem.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,964,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,964,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,964,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,964,13.4,,,,,,,,KI0375_74172_74171,Black,One Size,,,,,,,,,
product_variation,964,13.4,,,,,,,,KI0375_74173_74171,Navy,,,,,,,,,,
product,965,11.24,Padel tas,100 % gerecycled polyester. <br/>Deze tas is op maat gemaakt voor een racket. <br/>Dankzij de verstelbare band kan de tas ook over de schouder worden gedragen. <br/>Contrasterende ritsen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383674&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383674&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,965,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,965,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,965,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,
product_option,965,,,,,,,,,,,,Color,Black / Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_variation,965,11.24,,,,,,,,KI0381_80393_80392,Black,One Size,,,,,,,,,
product_variation,965,11.24,,,,,,,,KI0381_80394_80392,Black / Red,,,,,,,,,,
product_variation,965,11.24,,,,,,,,KI0381_80395_80392,Black / Royal Blue,,,,,,,,,,
product,966,22.04,Padel rugzak,"100 % gerecycled polyester. <br/>Deze rugzak heeft twee vakken, één voor het racket en een tweede, groter vak voor reservekleding of andere accessoires.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,966,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,966,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_variation,966,22.04,,,,,,,,KI0382_80397_80396,Black,One Size,,,,,,,,,
product,967,12.54,Schoenentas,100 % polyester. <br/>Deze tas heeft twee vakken en is ruim genoeg voor trekking- of veiligheidsschoenen. <br/>De handige handgreep zit om de tas heen om hem te verstevigen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392563&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392563&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=417985&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=417984&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,967,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,967,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,967,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,967,12.54,,,,,,,,KI0383_80399_80398,Black,One Size,,,,,,,,,
product_variation,967,12.54,,,,,,,,KI0383_80400_80398,Navy,,,,,,,,,,
product,968,6.76,Schoudertasje,"Schoudertasje van 600D polyester, verstelbare schouderband, hoofdvak met sleutelring en voorvak, dubbele ritssluiting, vakje op rugzijde.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=67653&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67653&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,968,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,968,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,968,,,,,,,,,,,,Color,Red / Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,968,,,,,,,,,,,,Color,Slate Grey / Aqua Blue,RADIOBUTTONS,TRUE,,,,,
product_variation,968,6.76,,,,,,,,KI0301_32237_32236,Black,One Size,,,,,,,,,
product_variation,968,6.76,,,,,,,,KI0301_32240_32236,Red / Light Grey,,,,,,,,,,
product_variation,968,6.76,,,,,,,,KI0301_32239_32236,Slate Grey / Aqua Blue,,,,,,,,,,
product,969,19.1,Canvas Schoudertas,"Katoenen canvas tas met verstelbare schouderband, vintage look, gespen en oogjes oude koperen afwerking, 1 binnenvak.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=67791&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67791&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392226&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422521&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422522&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,
product_option,969,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,969,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,969,,,,,,,,,,,,Color,Vintage Kaki,RADIOBUTTONS,TRUE,,,,,
product_variation,969,19.1,,,,,,,,KI0302_46271_32125,Black,One Size,,,,,,,,,
product_variation,969,19.1,,,,,,,,KI0302_32126_32125,Vintage Kaki,,,,,,,,,,
product,970,10.8,Verticale messenger tas,"Verticale messenger tas van 900D polyester, 3 voorvakken, afneembare en verstelbare schouderriem.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=67657&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67657&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,970,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,970,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,970,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,970,,,,,,,,,,,,Color,Slate Grey,RADIOBUTTONS,TRUE,,,,,
product_variation,970,10.8,,,,,,,,KI0303_37728_37727,Black,One Size,,,,,,,,,
product_variation,970,10.8,,,,,,,,KI0303_42139_37727,Navy,,,,,,,,,,
product_variation,970,10.8,,,,,,,,KI0303_37729_37727,Slate Grey,,,,,,,,,,
product,971,6.34,Schoudertas,"Tablet- en/of documenten schoudertas van 600D polyester, voorvak, verstelbare schouderriem.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=67658&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=67658&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
