type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_19,product_variation_option_Size
product,1853,17.26,Herensportpolo,"50% polyester Cool Plus® / 50% polyester. Ademende stof. Knooplijst met 3 knopen. Afwerking met dubbele stiksels aan de mouwen en onderaan. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=198066&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198066&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198063&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193281&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198061&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198060&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198062&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198064&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193280&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193282&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198058&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198059&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198065&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374987&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374986&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Aqua Blue,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Fine Grey,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Grey Melange,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Ice Mint,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,True Yellow,RADIOBUTTONS,TRUE,,
product_option,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_55587,Aqua Blue,,,,,,XS
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45128,Aqua Blue,,,,,,S
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45130,Aqua Blue,,,,,,M
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45131,Aqua Blue,,,,,,L
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45132,Aqua Blue,,,,,,XL
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45133,Aqua Blue,,,,,,XXL
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45129_45134,Aqua Blue,,,,,,3XL
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_55587,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45128,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45130,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45131,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45132,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45133,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45135_45134,Black,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_55587,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45128,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45130,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45131,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45132,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45133,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45136_45134,Fine Grey,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70039,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70041,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70043,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70045,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70047,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70049,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482A_70038_70051,Grey Melange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_55587,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45128,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45130,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45131,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45132,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45133,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_69734_45134,Ice Mint,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_55587,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45128,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45130,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45131,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45132,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45133,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45137_45134,Lime,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_55587,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45128,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45130,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45131,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45132,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45133,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45138_45134,Navy,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_55587,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45128,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45130,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45131,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45132,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45133,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45139_45134,Orange,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_55587,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45128,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45130,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45131,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45132,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45133,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45140_45134,Red,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_55587,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45128,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45130,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45131,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45132,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45133,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482C_45141_45134,True Yellow,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_55588,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45121,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45123,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45124,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45125,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45126,White,,,,,,
product_variation,1853,17.26,,,,,,,,,,,,,,,,,,,,,,,,,PA482_45122_45127,White,,,,,,
product,1854,15.96,Damessportpolo,"50% polyester CoolPlus® / 50% polyester. Ademende stof. Knooplijst zonder knopen. Afwerking met dubbele stiksels aan de mouwen en onderaan. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=198083&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198083&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198080&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193278&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198079&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198060&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198082&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193279&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=193280&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198081&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198058&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198059&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374984&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374985&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Aqua Blue,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Fine Grey,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Grey Melange,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Ice Mint,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,True Yellow,RADIOBUTTONS,TRUE,,
product_option,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_55589,Aqua Blue,,,,,,XS
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_45147,Aqua Blue,,,,,,S
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_45149,Aqua Blue,,,,,,M
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_45150,Aqua Blue,,,,,,L
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_45151,Aqua Blue,,,,,,XL
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45148_55591,Aqua Blue,,,,,,XXL
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_55589,Black,,,,,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_45147,Black,,,,,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_45149,Black,,,,,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_45150,Black,,,,,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_45151,Black,,,,,,
product_variation,1854,15.96,,,,,,,,,,,,,,,,,,,,,,,,,PA483C_45152_55591,Black,,,,,,
