type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_option_Size
product_option,1255,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80622_80621,Beige,,,,,,,,,One Size
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80623_80621,Black,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80624_80621,Dark Grey,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80625_80621,Forest Green,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80626_80621,Light Grey,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80627_80621,Navy,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80628_80621,Orange,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80629_80621,Red,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80630_80621,Royal Blue,,,,,,,,,
product_variation,1255,4.34,,,,,,,,,,,,,,KP194_80631_80621,White,,,,,,,,,
product,1256,4.34,Pet - 5 panelen,100% zwaar geborsteld katoen. Verstelbare klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383840&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383840&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383838&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383839&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390737&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390736&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390738&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383841&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383837&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383842&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_option,1256,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80633_80632,Beige,,,,,,,,,One Size
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80634_80632,Black,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80635_80632,Dark Grey,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80636_80632,Forest Green,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80637_80632,Light Grey,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80638_80632,Navy,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80639_80632,Orange,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80640_80632,Red,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80641_80632,Royal Blue,,,,,,,,,
product_variation,1256,4.34,,,,,,,,,,,,,,KP195_80642_80632,White,,,,,,,,,
product,1257,4.44,Pet - 6 panelen,100% zwaar geborsteld katoen. Verstelbare klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383836&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383836&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390733&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390735&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390734&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Beige / White,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Dark Grey / Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Forest Green / Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,,
product_option,1257,,,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80644_80643,Beige / White,,,,,,,,,One Size
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80645_80643,Black,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80646_80643,Black / Red,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80647_80643,Black / White,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80648_80643,Dark Grey / Light Grey,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80649_80643,Forest Green / Beige,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80650_80643,Navy,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80651_80643,Navy / White,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80652_80643,Red / White,,,,,,,,,
product_variation,1257,4.44,,,,,,,,,,,,,,KP196_80653_80643,Royal Blue / White,,,,,,,,,
product,1258,7.9,Bandana-snood,100% polyester. Driehoekige bandana-snood met verstelbare klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Sjaal / Stola / Nekwarmer,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390676&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390675&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383791&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1258,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1258,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1258,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,1258,7.9,,,,,,,,,,,,,,KP457_80737_80736,Black,,,,,,,,,One Size
product_variation,1258,7.9,,,,,,,,,,,,,,KP457_80738_80736,Navy,,,,,,,,,
product,1259,10.9,Corduroy Pet  - 6 panelen,100% polyester.  Polyester Corduroy.  Gewelfde klep. Verstelbare klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383844&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383844&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390741&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390742&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390743&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422523&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=422524&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,1259,,,,,,,,,,,,,,,,,Color,Dark Olive,RADIOBUTTONS,TRUE,,,,,
product_option,1259,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1259,,,,,,,,,,,,,,,,,Color,Minorca Navy,RADIOBUTTONS,TRUE,,,,,
