type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_variation_option_Size,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12
product,2103,78.08,Rugzak SLX®-Lite,100% polyester. Polyester 210D Box Check Dobby/300D Polyester. 35 liter. Heel licht en stevig. Waterdichte stof. Waterdichte en afneembare regenhoes. Bevestigingspunten voor trekkingstokken. Reflecterende details. Elastische zijzakken in mesh. Binnenzak. Ademend achterpaneel. Verstelbare riemen. Verstelbare en gevulde schouderriemen. Sleutelhaak. Handgreep. TearAway-label voor eenvoudige bedrukking.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267508&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267508&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391793&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391782&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391789&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391792&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391790&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391791&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391783&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,2103,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2103,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2103,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2103,78.08,,,,,,,,QX335_77374_77373,Black,,,,,,,,,,,,,One Size,,,
product_variation,2103,78.08,,,,,,,,QX335_77375_77373,Graphite Grey,,,,,,,,,,,,,,,,
product,2104,16.68,Boot Bag,420D polyester. Naamkaarthouder. Mesh ter verluchting. Handvat van webbing. Binnenbodem. Beschermende voetjes.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70750&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70750&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70744&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70745&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70746&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247642&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,2104,,,,,,,,,,,Color,Black / Graphite Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2104,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2104,,,,,,,,,,,Color,Bottle Green / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2104,,,,,,,,,,,Color,French Navy / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2104,16.68,,,,,,,,QD86_33447_11271,Black / Graphite Grey,,,,,,,,,,,,,One Size,,,
product_variation,2104,16.68,,,,,,,,QD86_11273_11271,Bottle Green / Black,,,,,,,,,,,,,,,,
product_variation,2104,16.68,,,,,,,,QD86_11274_11271,French Navy / Black,,,,,,,,,,,,,,,,
product,2105,105.68,Vessel™ Airporter,"600D micro rip-stop polyester. Cabine formaat. Trekstang. Opbergbare schouderhengsels. Duurzame geïntegreerde skate wieltjes. Groot hoofdvak. Compressiebanden. Organiser indeling. Voorvak met rits. Handvat van neoprene. Naamkaarthouder. Productgewicht 2,1 kg",https://media.europeancatalog.com/ws.php?act=download&mamfileid=70777&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70777&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70778&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70779&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70780&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70775&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70776&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247650&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,2105,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2105,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2105,105.68,,,,,,,,QD902_24950_11316,Black,,,,,,,,,,,,,One Size,,,
product,2106,119.48,Vessel™ team wheelie bag,600D micro ripstop polyester. Interne meshzakken. Compressiebandjes. Afneembare verstelbare schouderriem inclusief anti-slip kussentje. Webbing draaggrepen. Voorvak met rits. Interne meshvakken. Interne compressiebandjes. Gepolsterde handgreep. Uitschuifbre vastklikkende handgreep aan dubbele trekstang. Geïntegreerde skatewieltjes voor zwaar gebruik. Pakriemen aan binnenkant. Neopreen gepolsterde handgreep. Kaarthouder met afgeschermde naam.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70786&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70781&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70782&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70783&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70784&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247652&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247651&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247653&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,2106,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2106,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2106,119.48,,,,,,,,QD904_52452_52451,Black,,,,,,,,,,,,,One Size,,,
product,2107,98.78,Tungsten™ wheelie travel bag,"1680D polyester. Zijvak met rits, meerdere binnenvakken. Afneembare verstelbare schouderriem met kussentje. Trekgreep. Gepolsterde handgreep. Uitschuifbare vastklikkende handgreep aan dubbele trekstang. Geïntegreerde skatewieltjes voor zwaar gebruik. Voorvak met rits. Gepolsterde handgrepen. Kaarthouder met afgeschermde naam.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=70790&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70790&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70791&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70787&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70788&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70789&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247654&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,2107,,,,,,,,,,,Color,Black / Dark Graphite,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2107,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2107,98.78,,,,,,,,QD970_52454_52453,Black / Dark Graphite,,,,,,,,,,,,,One Size,,,
product,2108,119.48,Tungsten™ business traveller,"1680D polyester. Geschikt voor de cabine van een vliegtuig. Dubbele, uitschuifbare trekstang met twee standen. Zware wielen. Slijtvaste stootplaat aan de onderkant. Spanbanden aan de binnenkant. Geschikt voor laptops tot 15,6. Gevoerd laptopvak. Organiser indeling achter voorklep. Afgedekte naamkaarthouder. Afsluitbaar hoofdvak. Mesh binnenzak met rits. Draag handvat. Gevoerde handgreep.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=70793&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Trolley,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70793&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70792&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70794&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247655&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2108,,,,,,,,,,,Color,Black / Dark Graphite,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2108,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2108,119.48,,,,,,,,QD975_52456_52455,Black / Dark Graphite,,,,,,,,,,,,,One Size,,,
product,2109,75.78,SLX® 25 Litre Waterproof Backpack,"100% waterdicht stevig PVC dekzeil. Systeem met veilige oprolsluiting en clipsluiting. Innovatief, zeer slijtvast ontwerp. Verstelbare banden. Reflecterende accenten voor betere zichtbaarheid. Mesh buitenvak. Ademend verstevigd mesh achterpaneel. Waterdichte rits. Gevoerde, verstelbare mesh schouderbanden. Handgreep. Dubbelzijdige EasyPanel™ voor decoratie. TearAway-label.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=70865&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70865&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70866&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70875&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70881&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70873&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70878&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70877&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70874&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247656&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,2109,,,,,,,,,,,Color,Black / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2109,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2109,,,,,,,,,,,Color,Black / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2109,75.78,,,,,,,,QX625_57980_57979,Black / Black,,,,,,,,,,,,,One Size,,,
product_variation,2109,75.78,,,,,,,,QX625_57981_57979,Black / Yellow,,,,,,,,,,,,,,,,
product,2110,3.56,Shopper compact",100% polyester. Opvouwbare shopper in zak in hoekzak met aanrijgkoord. Verstevigde naden. Contrasterende randen. White : eenkleurige hengsels.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70883&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70883&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70882&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70884&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Fennel / Pink,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Lime / Royal,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Navy / Lime,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Raspberry / Lime,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,Royal / Lime,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2110,,,,,,,,,,,Color,White / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_52458_52457,Black / Orange,,,,,,,,,,,,,One Size,,,
product_variation,2110,3.56,,,,,,,,R002X_52459_52457,Fennel / Pink,,,,,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_52460_52457,Lime / Royal,,,,,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_52461_52457,Navy / Lime,,,,,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_52462_52457,Raspberry / Lime,,,,,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_52463_52457,Royal / Lime,,,,,,,,,,,,,,,,
product_variation,2110,3.56,,,,,,,,R002X_57982_52457,White / Black,,,,,,,,,,,,,,,,
product,2111,41.28,Safari Waistcoat,Buitenkant: 65% polyester / 35% katoen twill. Voering: 100% polyester mesh achterkant voor de helft. Stevige ritssluiting. 2 binnenzakken. Borstzak rechts. Ruime voorzakken met klittenbandsluiting. Verborgen voorzak. Grote achterzak en visdobber- en/of penhouder. 11 zakken in totaal. Sleutelring.  Ophanglus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70885&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70885&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Color,Lichen Green,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2111,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2111,41.28,,,,,,,,R045X_50608_50607,Lichen Green,,,,,,,,,,,,,S,,,
product_variation,2111,41.28,,,,,,,,R045X_50608_50609,Lichen Green,,,,,,,,,,,,,M,,,
product_variation,2111,41.28,,,,,,,,R045X_50608_50610,Lichen Green,,,,,,,,,,,,,L,,,
product_variation,2111,41.28,,,,,,,,R045X_50608_50611,Lichen Green,,,,,,,,,,,,,XL,,,
product_variation,2111,41.28,,,,,,,,R045X_50608_50612,Lichen Green,,,,,,,,,,,,,XXL,,,
product_variation,2111,41.28,,,,,,,,R045X_50613_50607,Orange,,,,,,,,,,,,,,,,
product_variation,2111,41.28,,,,,,,,R045X_50613_50609,Orange,,,,,,,,,,,,,,,,
product_variation,2111,41.28,,,,,,,,R045X_50613_50610,Orange,,,,,,,,,,,,,,,,
product_variation,2111,41.28,,,,,,,,R045X_50613_50611,Orange,,,,,,,,,,,,,,,,
product_variation,2111,41.28,,,,,,,,R045X_50613_50612,Orange,,,,,,,,,,,,,,,,
product,2112,8.06,Polartherm™ Scarf Zip Pocket,100% polyester. Anti-pilling. Voering met rits om achterkant van een borduring te verbergen.  Zoom in zacht polyester. Zeer warm met ritszakje.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70888&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Sjaal / Stola / Nekwarmer,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70888&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70887&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70889&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2112,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2112,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2112,,,,,,,,,,,Color,Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2112,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2112,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2112,8.06,,,,,,,,R100_5198_5196,Black,,,,,,,,,,,,,One Size,,,
product_variation,2112,8.06,,,,,,,,R100_5200_5196,Grey,,,,,,,,,,,,,,,,
product_variation,2112,8.06,,,,,,,,R100_5199_5196,Navy,,,,,,,,,,,,,,,,
product_variation,2112,8.06,,,,,,,,R100_5197_5196,Red,,,,,,,,,,,,,,,,
product,2113,20.58,Microfleece Top,"100% polyester. Microfleece met ritskraag. Dik en compact, met een antipluisafwerking. Comfortabel sportmodel. Zachte, lichte en heel rekbare stoffen, gemakkelijk te dragen, gemakkelijk in onderhoud, in enkele minuten gewassen en gedroogd. Niet-elastische mouwboorden. Zoom met dubbel stiksel. Thermogekleefde naden in de kraag. Wassen op 60 °C.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=70895&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=70895&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Color,Charcoal,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2113,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61788,Black,,,,,,,,,,,,,XS,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61786,Black,,,,,,,,,,,,,S,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61785,Black,,,,,,,,,,,,,M,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61784,Black,,,,,,,,,,,,,L,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61787,Black,,,,,,,,,,,,,XL,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61789,Black,,,,,,,,,,,,,XXL,,,
product_variation,2113,20.58,,,,,,,,R112X_61790_61783,Black,,,,,,,,,,,,,3XL,,,
product_variation,2113,20.58,,,,,,,,R112X_61791_61788,Charcoal,,,,,,,,,,,,,,,,
