type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72242,301.02,Black,40 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72243,301.02,Black,41 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72244,301.02,Black,42 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72245,301.02,Black,43 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72246,301.02,Black,44 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72247,301.02,Black,45 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72249_72248,301.02,Black,46 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72242,301.02,Dark Brown,40 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72243,301.02,Dark Brown,41 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72244,301.02,Dark Brown,42 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72245,301.02,Dark Brown,43 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72246,301.02,Dark Brown,44 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72247,301.02,Dark Brown,45 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72250_72248,301.02,Dark Brown,46 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72242,301.02,Honey,40 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72243,301.02,Honey,41 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72244,301.02,Honey,42 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72245,301.02,Honey,43 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72246,301.02,Honey,44 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72247,301.02,Honey,45 EU,,,,,,,,,,,
product_variation,BWjx5ExXS6J244n1,,,,,,,,,,CATPOWER_72251_72248,301.02,Honey,46 EU,,,,,,,,,,,
product,V2DIRDarD5wTzpx0,Celeste Dress,"67% viscose, 29% polyamide, 4% elasthan. Jurk in jersey met gekartelde hals, korte mouwen, een rekbare taille en 2 ritszakken. Wasbaar in de machine 30°C.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390322&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Jurk,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390322&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390321&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266513&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266511&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,V2DIRDarD5wTzpx0,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77975,157.56,Black,34 EU (6 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77976,157.56,Black,36 EU (8 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77977,157.56,Black,38 EU (10 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77978,157.56,Black,40 EU (12 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77979,157.56,Black,42 EU (14 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77980,157.56,Black,44 EU (16 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77983_77981,157.56,Black,46 EU (18 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77975,157.56,Navy,34 EU (6 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77976,157.56,Navy,36 EU (8 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77977,157.56,Navy,38 EU (10 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77978,157.56,Navy,40 EU (12 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77979,157.56,Navy,42 EU (14 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77980,157.56,Navy,44 EU (16 UK),,,,,,,,,,,
product_variation,V2DIRDarD5wTzpx0,,,,,,,,,,BT2365_77984_77981,157.56,Navy,46 EU (18 UK),,,,,,,,,,,
product,WBwuxV1OoHJbDaHL,Bloes Ravenna,"97% polyester / 3% elasthan. Stretchbloes, gemakkelijk te strijken. Korte mouwen, ronde hals. Wasbaar in de machine.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390324&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Overhemd / Blouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390324&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266505&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390323&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Color,Cream,RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Color,Gold,RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Color,Grey,RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Color,Taupe,RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,WBwuxV1OoHJbDaHL,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77965,61.5,Cream,36 EU (8 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77966,61.5,Cream,38 EU (10 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77967,61.5,Cream,40 EU (12 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77968,61.5,Cream,42 EU (14 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77969,61.5,Cream,44 EU (16 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77971_77970,61.5,Cream,46 EU (18 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77965,61.5,Gold,36 EU (8 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77966,61.5,Gold,38 EU (10 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77967,61.5,Gold,40 EU (12 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77968,61.5,Gold,42 EU (14 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77969,61.5,Gold,44 EU (16 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77972_77970,61.5,Gold,46 EU (18 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77965,61.5,Grey,36 EU (8 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77966,61.5,Grey,38 EU (10 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77967,61.5,Grey,40 EU (12 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77968,61.5,Grey,42 EU (14 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77969,61.5,Grey,44 EU (16 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77973_77970,61.5,Grey,46 EU (18 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77965,61.5,Taupe,36 EU (8 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77966,61.5,Taupe,38 EU (10 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77967,61.5,Taupe,40 EU (12 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77968,61.5,Taupe,42 EU (14 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77969,61.5,Taupe,44 EU (16 UK),,,,,,,,,,,
product_variation,WBwuxV1OoHJbDaHL,,,,,,,,,,BT2362_77974_77970,61.5,Taupe,46 EU (18 UK),,,,,,,,,,,
product,gsmnzVzevJzup1Db,Jasje Vega,"64% polyester / 34% viscose / 2% elasthan. LYCRA® elasthan.  Getailleerde pasvorm, kraagloze styling met gebogen splitten, 2 interne jettzakken, gebogen voor- en achternaden. Hoge mate van vlekbestendigheid Teflon®. Martindale-slijtproef: bestand tegen 10.000 wrijvingen. Wasbaar in de machine op 40 °C of droogkuis.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390326&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390326&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390325&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390327&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,48 EU (20 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,50 EU (22 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,gsmnzVzevJzup1Db,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
