type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29,product_media_gallery_image_url_30,product_media_gallery_image_url_31
product_option,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69150,44.94,Black,XS,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69151,44.94,Black,S,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69152,44.94,Black,M,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69153,44.94,Black,L,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69154,44.94,Black,XL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69156_69155,44.94,Black,XXL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69150,44.94,Sporty Dark Navy,XS,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69151,44.94,Sporty Dark Navy,S,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69152,44.94,Sporty Dark Navy,M,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69153,44.94,Sporty Dark Navy,L,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69154,44.94,Sporty Dark Navy,XL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69157_69155,44.94,Sporty Dark Navy,XXL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69150,44.94,Sporty Red,XS,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69151,44.94,Sporty Red,S,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69152,44.94,Sporty Red,M,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69153,44.94,Sporty Red,L,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69154,44.94,Sporty Red,XL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1gtPy57Xp7K8t6lW,,,,,,,,,,,,,,,,,,,PA940_69158_69155,44.94,Sporty Red,XXL,,,,,,,,,,,,,,,,,,,,,,,
product,vsinAmM6EU13PS4X,Meisjesbadpak,"100% polyester waarvan 43% polybutyleentereftalaat. Heel rekbare stof. Chloorbestendig. UV 50+ bescherming. Blijf beter zitten dankzij de brede schouderbandjes. Ronde opening ann de achterkant. Voering aan de voorkant om doorschijnen te voorkomen. Dubbel stiksel. Gemaakt in Spanje.  Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197857&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,PROACT®,Kleding,Maillot de bain,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197857&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197858&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197856&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374953&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,6/8 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,8/10 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,10/12 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,12/14 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Dark Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,6/8 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,8/10 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,10/12 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,12/14 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Red,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,6/8 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,8/10 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,10/12 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,,,,,Size,12/14 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69163_69159,43.6,Black,6/8 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69163_69160,43.6,Black,8/10 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69163_69161,43.6,Black,10/12 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69163_69162,43.6,Black,12/14 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69164_69159,43.6,Sporty Dark Navy,6/8 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69164_69160,43.6,Sporty Dark Navy,8/10 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69164_69161,43.6,Sporty Dark Navy,10/12 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69164_69162,43.6,Sporty Dark Navy,12/14 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69165_69159,43.6,Sporty Red,6/8 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69165_69160,43.6,Sporty Red,8/10 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69165_69161,43.6,Sporty Red,10/12 ans,,,,,,,,,,,,,,,,,,,,,,,
product_variation,vsinAmM6EU13PS4X,,,,,,,,,,,,,,,,,,,PA941_69165_69162,43.6,Sporty Red,12/14 ans,,,,,,,,,,,,,,,,,,,,,,,
product,Iny4me7mJ26W9FKX,Damesbadpak,"100% polyester waarvan 43% polybutyleentereftalaat. Heel rekbare stof. Chloorbestendig. UV 50+ bescherming. Ondiepe halsopening vooraan. Biesje en dubbele stiksels voor schouderbandjes, body en beenopening. Hooguitgesneden voor een afslankend effect. Racerback. Voering aan de voorkant om doorschijnen te voorkomen. Gemaakt in Spanje. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201762&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,PROACT®,Kleding,Maillot de bain,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201762&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201761&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201755&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201756&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201758&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201757&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201754&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201760&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374951&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374952&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Dark Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69166,42.3,Black,XS,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69167,42.3,Black,S,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69168,42.3,Black,M,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69169,42.3,Black,L,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69170,42.3,Black,XL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69172_69171,42.3,Black,XXL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69166,42.3,Sporty Dark Navy,XS,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69167,42.3,Sporty Dark Navy,S,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69168,42.3,Sporty Dark Navy,M,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69169,42.3,Sporty Dark Navy,L,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69170,42.3,Sporty Dark Navy,XL,,,,,,,,,,,,,,,,,,,,,,,
product_variation,Iny4me7mJ26W9FKX,,,,,,,,,,,,,,,,,,,PA942_69173_69171,42.3,Sporty Dark Navy,XXL,,,,,,,,,,,,,,,,,,,,,,,
product,qdpT8XYEagGs1tIg,Damesbadpak,"100% polyester waarvan 43% polybutyleentereftalaat. Heel rekbare stof. Chloorbestendig. UV 50+ bescherming. Halsopening rechts vooraan. Biesje en dubbele stiksels voor schouderbandjes en halsopening. Dubbele stiksels aan de achterkant en beenopeningen. Ronde opening op de achterkant. Voorkant bovenaan gevoerd en afgewerkt met een elastiek zodat de borst beter wordt ondersteund. Onderkant gevoerd. Gemaakt in Spanje.  Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201753&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,PROACT®,Kleding,Maillot de bain,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201753&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201752&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201751&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201747&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201749&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201748&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201750&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246346&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246328&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374950&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374949&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Dark Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,qdpT8XYEagGs1tIg,,,,,,,,,,,,,,,,,,,PA943_69180_69174,47.1,Black,XS,,,,,,,,,,,,,,,,,,,,,,,
