type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15
product_variation,93b3ZhpjelXIkz3J,,,,,,,,,,,,KI0517_74200_74199,14.36,Black,One Size,,,,,,,,,,,,,,
product,ixUVKZR4ch8j5rfv,Reisrugzak met gewatteerde achterkant voor laptop,"100% polyester. Reistas met grote inhoud in polyester. Waterdichte rits, opening met rits met dubbele schuiver bovenaan en handgrepen om hem te vervoeren als duffeltas. Verticale opening met compressieband die kan worden gebruikt als verticale handgreep. Platte bodemopening met binnenzak voor schoenen of vuile kleding. Ventilatiekleppen onderaan. Grote, 100% personaliseerbare tweelingzakken opzij. Gewatteerde achterzijde voor laptop tot 18 inch. Gewatteerde schouderriemen om de tas als rugzak te dragen. De schouderriemen verdwijnen in de daarvoor bestemde zak wanneer ze niet worden gebruikt.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277806&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277806&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277804&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277805&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277808&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263336&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263374&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263335&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263103&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331306&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277807&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,
product_option,ixUVKZR4ch8j5rfv,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,ixUVKZR4ch8j5rfv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,ixUVKZR4ch8j5rfv,,,,,,,,,,,,KI0648_74204_74203,61.04,Black,One Size,,,,,,,,,,,,,,
product,g4ybf9ZPLPJaTabH,Grote sporttas met zijvak,"100% polyester. Polyvalente sporttas. Een grote bovenopening en een zijzak met een mooie personalisatieruimte. Groot, apart vak voor schoenen. Verstelbare schouderriem.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263373&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263373&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263371&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263372&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331311&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Color,Light Titanium / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Color,Navy / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,g4ybf9ZPLPJaTabH,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,g4ybf9ZPLPJaTabH,,,,,,,,,,,,KI0649_74206_74205,30.24,Black,One Size,,,,,,,,,,,,,,
product_variation,g4ybf9ZPLPJaTabH,,,,,,,,,,,,KI0649_74207_74205,30.24,Light Titanium / Black,One Size,,,,,,,,,,,,,,
product_variation,g4ybf9ZPLPJaTabH,,,,,,,,,,,,KI0649_74208_74205,30.24,Navy / Black,One Size,,,,,,,,,,,,,,
product,to71R9xeL2rErqpa,Gerecycleerde sporttas met dubbel zijvak,"100% polyester. Sporttas met dubbel zijvak, gemaakt van 50% gerecycleerd polyester. Meshpaneel in een van de twee zijvakken, ideaal voor het opbergen van natte kleding, met een meshzak in het andere vak. Inclusief voetenmatje om u om te kleden zonder op de grond te moeten staan.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266339&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266339&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,
product_option,to71R9xeL2rErqpa,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,to71R9xeL2rErqpa,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,to71R9xeL2rErqpa,,,,,,,,,,,,,,,,Color,Deep Blue / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,to71R9xeL2rErqpa,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,to71R9xeL2rErqpa,,,,,,,,,,,,KI0650_74210_74209,51.1,Black,One Size,,,,,,,,,,,,,,
product_variation,to71R9xeL2rErqpa,,,,,,,,,,,,KI0650_74211_74209,51.1,Deep Blue / Black,One Size,,,,,,,,,,,,,,
product,euhtSDlo1CUzYlbg,Gerecycleerde padelrugzak met racketvak,"100% polyester. Rugzak voor sporters, gemaakt van 60% gerecycleerd polyester. Ideaal voor de beoefening van padel. Gewatteerd zijvak voor het racket. Zijzak met ritssluiting voor spulletjes.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263370&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263370&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263368&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263369&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246352&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246351&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,
product_option,euhtSDlo1CUzYlbg,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,euhtSDlo1CUzYlbg,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,euhtSDlo1CUzYlbg,,,,,,,,,,,,KI0651_74213_74212,27.7,Black,One Size,,,,,,,,,,,,,,
product,XZ1vQx6WEokRMKpQ,Padelrugzak met dubbel racketvak,100% polyester. Speciale padelsport rugzak. Vak voor rackets aan beide kanten. Compartiment met apart schoenenvak. Groot volume.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246350&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246352&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246351&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331314&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,
product_option,XZ1vQx6WEokRMKpQ,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XZ1vQx6WEokRMKpQ,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,XZ1vQx6WEokRMKpQ,,,,,,,,,,,,KI0652_74215_74214,49.24,Black,One Size,,,,,,,,,,,,,,
product,XBciKS66p1zilW7Z,Gerecycleerde buisvormige tas met zak op de voorkant,100% polyester 600D. Duffeltas in 50% gerecycleerd polyester. Zak met ritssluiting aan de voorkant. Verstelbare schouderriem.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263296&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263296&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277860&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331313&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Flamingo Pink,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Orange Zest,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Taupe,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Color,Twilight Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBciKS66p1zilW7Z,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74225_74224,14.46,Black,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74226_74224,14.46,Flamingo Pink,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74227_74224,14.46,Matcha Green,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74228_74224,14.46,Orange Zest,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74229_74224,14.46,Red Safran,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74230_74224,14.46,Taupe,One Size,,,,,,,,,,,,,,
product_variation,XBciKS66p1zilW7Z,,,,,,,,,,,,KI0655_74231_74224,14.46,Twilight Blue,One Size,,,,,,,,,,,,,,
product,I0DZxi1E3JKHzgx7,Gerecycleerde en gewatteerde rugzak voor het werk,"100% polyester. Gewatteerde werktas in 50% gerecycleerd polyester. In het hoofdvak zit een vak voor een laptop tot 15 inch. Op de voorkant zit een zak met een grote ritssluiting, voor eenvoudige personalisatie.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263365&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263365&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263364&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263366&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263099&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,
product_option,I0DZxi1E3JKHzgx7,,,,,,,,,,,,,,,,Color,Graphite Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,I0DZxi1E3JKHzgx7,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,I0DZxi1E3JKHzgx7,,,,,,,,,,,,KI0891_74261_74260,38.86,Graphite Grey Heather,One Size,,,,,,,,,,,,,,
product,AWEkLqWUrKfgpIjv,"Essentiële, gerecycleerde sporttas",100% polyester. Essentiële sporttas in 50% gerecycleerd polyester. Zijzak met ritssluiting,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277815&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277815&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277812&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263367&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277813&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277814&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331316&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Color,Lemon Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Color,Sage,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,AWEkLqWUrKfgpIjv,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,AWEkLqWUrKfgpIjv,,,,,,,,,,,,KI0653_74217_74216,20.64,Black,One Size,,,,,,,,,,,,,,
product_variation,AWEkLqWUrKfgpIjv,,,,,,,,,,,,KI0653_74218_74216,20.64,Lemon Yellow,One Size,,,,,,,,,,,,,,
product_variation,AWEkLqWUrKfgpIjv,,,,,,,,,,,,KI0653_74219_74216,20.64,Matcha Green,One Size,,,,,,,,,,,,,,
product_variation,AWEkLqWUrKfgpIjv,,,,,,,,,,,,KI0653_74220_74216,20.64,Red Safran,One Size,,,,,,,,,,,,,,
product_variation,AWEkLqWUrKfgpIjv,,,,,,,,,,,,KI0653_74221_74216,20.64,Sage,One Size,,,,,,,,,,,,,,
product,fLa3egtNaBeLUVsy,Gerecycleerde tas voor yogamatje,100% polyester. Duffeltas in 60% gerecycleerd polyester. Zijzak met ritssluiting voor spulletjes. Ideaal om een matje en schone kleding mee te nemen voor uw yoga- of pilateslessen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266338&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266338&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,
product_option,fLa3egtNaBeLUVsy,,,,,,,,,,,,,,,,Color,Matcha Green,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fLa3egtNaBeLUVsy,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,fLa3egtNaBeLUVsy,,,,,,,,,,,,KI0654_74223_74222,11.56,Matcha Green,One Size,,,,,,,,,,,,,,
product,gkjAdTeZkFobJuxx,Tas met tunnelkoord,100% katoen. Katoenen tas met koordsluiting. Verkrijgbaar in verschillende maten. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266680&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266680&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,gkjAdTeZkFobJuxx,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,gkjAdTeZkFobJuxx,,,,,,,,,,,,KI0750XS_74237_74232,1.14,Natural,XS,,,,,,,,,,,,,,
product_variation,gkjAdTeZkFobJuxx,,,,,,,,,,,,KI0750S_74238_74233,1.34,Natural,S,,,,,,,,,,,,,,
product_variation,gkjAdTeZkFobJuxx,,,,,,,,,,,,KI0750M_74239_74234,1.64,Natural,M,,,,,,,,,,,,,,
product_variation,gkjAdTeZkFobJuxx,,,,,,,,,,,,KI0750L_74240_74235,1.76,Natural,L,,,,,,,,,,,,,,
product_variation,gkjAdTeZkFobJuxx,,,,,,,,,,,,KI0750XL_74241_74236,2.34,Natural,XL,,,,,,,,,,,,,,
product,HovGxI0IR1OylCWT,Tas van biologisch katoen,100% katoen. Veelzijdige tas met koordsluiting in 100% biologisch katoen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266679&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266679&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,HovGxI0IR1OylCWT,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,HovGxI0IR1OylCWT,,,,,,,,,,,,KI0751S_74253_74243,2.1,Black,S,,,,,,,,,,,,,,
product_variation,HovGxI0IR1OylCWT,,,,,,,,,,,,KI0751M_74252_74244,2.8,Black,M,,,,,,,,,,,,,,
product_variation,HovGxI0IR1OylCWT,,,,,,,,,,,,KI0751L_74250_74247,4.14,Black,L,,,,,,,,,,,,,,
product_variation,HovGxI0IR1OylCWT,,,,,,,,,,,,KI0751XL_74251_74248,5.66,Black,XL,,,,,,,,,,,,,,
product_variation,HovGxI0IR1OylCWT,,,,,,,,,,,,KI0751NS_74254_74242,1.76,Natural,S,,,,,,,,,,,,,,
