type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70609_70608,5.5,Black,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70610_70608,5.5,Bright Royal,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70611_70608,5.5,Burgundy,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70612_70608,5.5,Classic Red,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70613_70608,5.5,French Navy,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70614_70608,5.5,Orange,One Size,,,,,,
product_variation,Eys0S14MklgH7hgj,,,,,,,,,,,,B610_70615_70608,5.5,White,One Size,,,,,,
product,000J8ZORh8e07JdP,Snood - Morf® Original,100% polyester / microvezel. Ademende stof. Naadloos voor meer comfort. Multifunctioneel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219804&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Beechfield,Kledingaccessoires,Sjaal,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219804&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196647&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Bottle Green,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Fuchsia,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Purple,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Sapphire Blue,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Color,Yellow,RADIOBUTTONS,TRUE,,
product_option,000J8ZORh8e07JdP,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_22416_22415,2.96,Black,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70616_22415,2.96,Bottle Green,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70617_22415,2.96,Bright Royal,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70618_22415,2.96,Burgundy,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70619_22415,2.96,Classic Red,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70620_22415,2.96,Fluorescent Orange,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70621_22415,2.96,Fluorescent Yellow,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70622_22415,2.96,French Navy,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70623_22415,2.96,Fuchsia,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70624_22415,2.96,Graphite Grey,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70625_22415,2.96,Lime Green,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_22417_22415,2.96,Orange,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70626_22415,2.96,Purple,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70627_22415,2.96,Sapphire Blue,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70628_22415,2.96,White,One Size,,,,,,
product_variation,000J8ZORh8e07JdP,,,,,,,,,,,,B900_70629_22415,2.96,Yellow,One Size,,,,,,
product,ql2NW6d5BIcuNK7o,Turnrugzak met koordje,Polyester 300D. Afneembaar etiket. Waterdichte stof. Geheime zak. Dikke aanrijgkoordjes.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196633&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196633&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196632&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196634&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Bottle Green,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,Sapphire Blue,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Color,White / Black,RADIOBUTTONS,TRUE,,
product_option,ql2NW6d5BIcuNK7o,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_78617_70637,8.16,Black,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70639_70637,8.16,Bottle Green,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70640_70637,8.16,Bright Royal,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70641_70637,8.16,Classic Red,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70642_70637,8.16,French Navy,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70643_70637,8.16,Light Grey,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70644_70637,8.16,Lime Green,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110_70645_70637,8.16,Sapphire Blue,One Size,,,,,,
product_variation,ql2NW6d5BIcuNK7o,,,,,,,,,,,,BG110C_70646_70638,8.62,White / Black,One Size,,,,,,
product,OjpdqqOfw4lqcDyW,Heuptasje Studio,100% polyester. Afneembaar etiket. Aanpasbare heupband met veilige sluiting. Groot hoofdvak met ritssluiting. Achterzak met rits.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206574&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206574&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196631&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196630&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196629&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196628&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,
product_option,OjpdqqOfw4lqcDyW,,,,,,,,,,,,,,,,Color,Jet Black,RADIOBUTTONS,TRUE,,
product_option,OjpdqqOfw4lqcDyW,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,OjpdqqOfw4lqcDyW,,,,,,,,,,,,,,,,Color,Silver,RADIOBUTTONS,TRUE,,
product_option,OjpdqqOfw4lqcDyW,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,OjpdqqOfw4lqcDyW,,,,,,,,,,,,BG144_70648_70647,8.62,Jet Black,One Size,,,,,,
product_variation,OjpdqqOfw4lqcDyW,,,,,,,,,,,,BG144_70649_70647,8.62,Silver,One Size,,,,,,
product,t0vEkynrpyjRwpYA,Klein rugzakje Essential Fashion,Polyester 600D. Afneembaar etiket. Aanpasbare schouderbanden. Voorzak met rits. Gewatteerde achterkant. Hengsel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196627&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196627&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196624&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196626&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196625&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196623&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196622&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,Powder Blue,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,Powder Pink,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,
product_option,t0vEkynrpyjRwpYA,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70651_70650,13,Black,One Size,,,,,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70652_70650,13,French Navy,One Size,,,,,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70653_70650,13,Light Grey,One Size,,,,,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70654_70650,13,Powder Blue,One Size,,,,,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70655_70650,13,Powder Pink,One Size,,,,,,
product_variation,t0vEkynrpyjRwpYA,,,,,,,,,,,,BG153_70656_70650,13,White,One Size,,,,,,
product,yXKw36dO8AtW2BF3,Rugzak voor laptop Campus,"Polyester 600D. Afneembaar etiket. Geschikt voor laptops van max. 15,6. Gewatteerd vak voor laptop met toegang van buitenaf. Voorzak met rits. Gewatteerde achterkant. Aanpasbare en gewatteerde schouderbanden van mesh. Gewatteerd hengsel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206203&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206203&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196621&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196620&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196619&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196618&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,
product_option,yXKw36dO8AtW2BF3,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,yXKw36dO8AtW2BF3,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,yXKw36dO8AtW2BF3,,,,,,,,,,,,,,,,Color,Navy Dusk,RADIOBUTTONS,TRUE,,
product_option,yXKw36dO8AtW2BF3,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,yXKw36dO8AtW2BF3,,,,,,,,,,,,BG265_70658_70657,25.18,Black,One Size,,,,,,
product_variation,yXKw36dO8AtW2BF3,,,,,,,,,,,,BG265_70659_70657,25.18,Navy Dusk,One Size,,,,,,
product,EIfae8jySmXLt0aD,Schoenen- en accessoiretas Athleisure,Combinatie van 600D/420D polyester. Gemakkelijk te reinigen binnenkant. Verluchtingsgaatje. Achterzak van mesh. Hengsel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196615&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196615&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196617&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196616&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,
product_option,EIfae8jySmXLt0aD,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70667_70666,8.48,Black,One Size,,,,,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70668_70666,8.48,Bright Royal,One Size,,,,,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70669_70666,8.48,Classic Red,One Size,,,,,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70670_70666,8.48,French Navy,One Size,,,,,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70671_70666,8.48,Lime Green,One Size,,,,,,
product_variation,EIfae8jySmXLt0aD,,,,,,,,,,,,BG540_70672_70666,8.48,Orange,One Size,,,,,,
product,xrJOHp5tHCXnpKB8,Gerecyclede rugzak Roll-Top,"100% gerecycled 600D polyester. Afneembaar etiket. Gewatteerd vak voor laptop van max. 15,6. Hengsel. Koord met reflecterende details. Gevulde achterkant en verstevigde bodem. Aanpasbare, gewatteerde schouderbanden.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=346676&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=346676&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,
product_option,xrJOHp5tHCXnpKB8,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,xrJOHp5tHCXnpKB8,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,xrJOHp5tHCXnpKB8,,,,,,,,,,,,BG286_70661_70660,27.48,Black,One Size,,,,,,
product,xnT0X1YrfFW8nrDF,Heuptasje met organizer,Polyester 600D. Ring voor de kabeltjes van een headset. Aanpasbare heupriem. Sluithaak voor sleutels. Achterzak met rits. Binnenzak van mesh.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206209&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206209&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196606&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,
product_option,xnT0X1YrfFW8nrDF,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,xnT0X1YrfFW8nrDF,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,xnT0X1YrfFW8nrDF,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,xnT0X1YrfFW8nrDF,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,xnT0X1YrfFW8nrDF,,,,,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,
