type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70360,35.54,Oxford Blue,S,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70361,35.54,Oxford Blue,M,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70362,35.54,Oxford Blue,L,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70363,35.54,Oxford Blue,XL,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70364,35.54,Oxford Blue,XXL,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70366_70365,35.54,Oxford Blue,3XL,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70360,35.54,White,S,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70361,35.54,White,M,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70362,35.54,White,L,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70363,35.54,White,XL,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70364,35.54,White,XXL,,,,,,,,,,,,
product_variation,cScuC0Hgln5u7kCx,,,,,,,RU922M_70367_70365,35.54,White,3XL,,,,,,,,,,,,
product,OslaAebTh3XDckj0,Herenpolo Original,"100% katoen. (Heather Grey: 97% katoen / 3% polyester). Polo in piquétricot. Nauwsluitende snit. Zijnaden. Lijst met 2 knopen. Ton-sur-ton knopen. Afwerking zonder ribboord. Geen zijsplit. Afneembaar etiket.  Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5295, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391133&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Fruit of the Loom,Kleding,Polo,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391133&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391134&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Azur Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Deep Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Light Graphite,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,Sky Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,OslaAebTh3XDckj0,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70395_70383,11.04,Azur Blue,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70395_70386,11.04,Azur Blue,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70395_70387,11.04,Azur Blue,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70395_70390,11.04,Azur Blue,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70395_70391,11.04,Azur Blue,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70396_70394,13,Azur Blue,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70398_70383,11.04,Black,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70398_70386,11.04,Black,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70398_70387,11.04,Black,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70398_70390,11.04,Black,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70398_70391,11.04,Black,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70397_70394,13,Black,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70399_70383,11.04,Burgundy,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70399_70386,11.04,Burgundy,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70399_70387,11.04,Burgundy,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70399_70390,11.04,Burgundy,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70399_70391,11.04,Burgundy,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70400_70394,13,Burgundy,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70402_70383,11.04,Deep Navy,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70402_70386,11.04,Deep Navy,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70402_70387,11.04,Deep Navy,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70402_70390,11.04,Deep Navy,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70402_70391,11.04,Deep Navy,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70401_70394,13,Deep Navy,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70403_70383,11.04,Heather Grey,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70403_70386,11.04,Heather Grey,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70403_70387,11.04,Heather Grey,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70403_70390,11.04,Heather Grey,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70403_70391,11.04,Heather Grey,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70404_70394,13,Heather Grey,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70406_70383,11.04,Light Graphite,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70406_70386,11.04,Light Graphite,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70406_70387,11.04,Light Graphite,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70406_70390,11.04,Light Graphite,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70406_70391,11.04,Light Graphite,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70405_70394,13,Light Graphite,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70407_70383,11.04,Red,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70407_70386,11.04,Red,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70407_70387,11.04,Red,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70407_70390,11.04,Red,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70407_70391,11.04,Red,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70408_70394,13,Red,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70410_70383,11.04,Royal Blue,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70410_70386,11.04,Royal Blue,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70410_70387,11.04,Royal Blue,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70410_70390,11.04,Royal Blue,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70410_70391,11.04,Royal Blue,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70409_70394,13,Royal Blue,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70411_70383,11.04,Sky Blue,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70411_70386,11.04,Sky Blue,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70411_70387,11.04,Sky Blue,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70411_70390,11.04,Sky Blue,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050C_70411_70391,11.04,Sky Blue,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050CX_70412_70394,13,Sky Blue,3XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050_70414_70384,9.38,White,S,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050_70414_70385,9.38,White,M,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050_70414_70388,9.38,White,L,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050_70414_70389,9.38,White,XL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050_70414_70392,9.38,White,XXL,,,,,,,,,,,,
product_variation,OslaAebTh3XDckj0,,,,,,,SC63050X_70413_70393,10.82,White,3XL,,,,,,,,,,,,
product,nFTxZLJs9QETJOzW,Damespolo Premium,"100% katoen. (Heather Grey: 97% katoen / 3% polyester). Piquékatoen. Zijnaden voor een getailleerde, vrouwelijke snit. Smalle lijst met twee ton-sur-ton knopen. Zijsplitten. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5295, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=400871&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Fruit of the Loom,Kleding,Polo,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=400871&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=400875&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Deep Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Light Pink,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,nFTxZLJs9QETJOzW,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
