type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Flamingo Pink,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Green Clay,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Insignia Blue,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Light Camel,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Orange Zest / Plum Purple,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Soil Grey,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74161_74160,9.54,Black,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74162_74160,9.54,Cypress Green,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74163_74160,9.54,Dazzling Blue / White,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74164_74160,9.54,Flamingo Pink,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74165_74160,9.54,Green Clay,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74166_74160,9.54,Insignia Blue,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74167_74160,9.54,Light Camel,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74168_74160,9.54,Orange Zest / Plum Purple,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74169_74160,9.54,Red Safran,One Size,,,,,,,,,,,
product_variation,pISw9SHOv8wZEpgA,,,,,,,,KI0374_74170_74160,9.54,Soil Grey,One Size,,,,,,,,,,,
product,8cK7zuelz7x36O1s,Gerecycleerde laptoptas,"100% polyester.  Werktas in 60% gerecycleerd polyester. Dubbele zak met ritssluiting vooraan, voor eenvoudige personalisatie. Gewatteerd hoofdvak voor laptop tot 15 inch. Achterlipje om de tas in de handgreep van de rolkoffer te steken.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263337&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263337&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263339&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263338&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,
product_option,8cK7zuelz7x36O1s,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,8cK7zuelz7x36O1s,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,8cK7zuelz7x36O1s,,,,,,,,,,,,Color,Light Titanium,RADIOBUTTONS,TRUE,,,,,,,
product_option,8cK7zuelz7x36O1s,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,8cK7zuelz7x36O1s,,,,,,,,KI0433_74187_74186,30.1,Black,One Size,,,,,,,,,,,
product_variation,8cK7zuelz7x36O1s,,,,,,,,KI0433_74188_74186,30.1,Light Titanium,One Size,,,,,,,,,,,
product,gQ0KohtY9U4QLywa,Koeltas met rolsluiting,100% katoen. Katoenen tas met oprolsluiting die hem een rechte en eenvoudig personaliseerbare vorm geeft. Verschillende afmetingen om in alle noden te voorzien.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266670&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266670&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448326&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448325&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448324&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448328&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448327&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,
product_option,gQ0KohtY9U4QLywa,,,,,,,,,,,,Color,Natural / White,RADIOBUTTONS,TRUE,,,,,,,
product_option,gQ0KohtY9U4QLywa,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,gQ0KohtY9U4QLywa,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,gQ0KohtY9U4QLywa,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_variation,gQ0KohtY9U4QLywa,,,,,,,,KI0376S_74177_74174,4.76,Natural / White,S,,,,,,,,,,,
product_variation,gQ0KohtY9U4QLywa,,,,,,,,KI0376M_74178_74175,6.4,Natural / White,M,,,,,,,,,,,
product_variation,gQ0KohtY9U4QLywa,,,,,,,,KI0376L_74179_74176,8.1,Natural / White,L,,,,,,,,,,,
product,QNPA3bLZNBR2WU4D,Tas voor tablet en laptop,"100% katoen. Katoenen werktas. Gewatteerd vak voor tablet of laptop tot 15 inch. Op de voor- en achterzijde zit dezelfde zak met ritssluiting, voor eenvoudige personalisatie aan beide zijden. De handgrepen zijn gemaakt van hetzelfde materiaal als de tas zelf.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263298&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263298&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263297&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277819&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=308713&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331297&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Color,Snow Grey,RADIOBUTTONS,TRUE,,,,,,,
product_option,QNPA3bLZNBR2WU4D,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,QNPA3bLZNBR2WU4D,,,,,,,,KI0434_74191_74189,21.3,Black,One Size,,,,,,,,,,,
product_variation,QNPA3bLZNBR2WU4D,,,,,,,,KI0434N_74192_74190,17.14,Natural,One Size,,,,,,,,,,,
product_variation,QNPA3bLZNBR2WU4D,,,,,,,,KI0434_74193_74189,21.3,Navy,One Size,,,,,,,,,,,
product_variation,QNPA3bLZNBR2WU4D,,,,,,,,KI0434_74194_74189,21.3,Snow Grey,One Size,,,,,,,,,,,
product,IRxEgi8DOGheqYnX,Werktas met schouderriem,"100% katoen. Katoenen documententas met verstelbare schouderriem. Dubbele zak met ritsen aan de zijkant, voor een 100% personaliseerbaar product. Gewatteerd hoofdvak voor een laptop tot 15 inch.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266669&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266669&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Color,Dark Grey / Curcuma,RADIOBUTTONS,TRUE,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Color,Light Titanium / Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,IRxEgi8DOGheqYnX,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,IRxEgi8DOGheqYnX,,,,,,,,KI0435_74196_74195,25.44,Black,One Size,,,,,,,,,,,
product_variation,IRxEgi8DOGheqYnX,,,,,,,,KI0435_74197_74195,25.44,Dark Grey / Curcuma,One Size,,,,,,,,,,,
product_variation,IRxEgi8DOGheqYnX,,,,,,,,KI0435_74198_74195,25.44,Light Titanium / Black,One Size,,,,,,,,,,,
product,APyra2Pv0OErPlqA,"Shoppers met ruimteplooi, verkrijgbaar in verschillende afmetingen","100% katoen. Klassieke shopper met ruimteplooi, verkrijgbaar in verschillende maten van S tot XL.  De hengsels zijn gemaakt van dezelfde stof als de tas zelf. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266674&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266674&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Color,Navy Blue,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,APyra2Pv0OErPlqA,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295S_74119_74111,5.9,Black,S,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295M_74122_74114,7.64,Black,M,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295L_74120_74115,9.1,Black,L,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295XL_74121_74118,11.64,Black,XL,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295NS_74126_74112,4.46,Natural,S,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295NM_74123_74113,5.44,Natural,M,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295NL_74124_74116,6.1,Natural,L,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295NXL_74125_74117,7.2,Natural,XL,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295S_74127_74111,5.9,Navy Blue,S,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295M_74130_74114,7.64,Navy Blue,M,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295L_74129_74115,9.1,Navy Blue,L,,,,,,,,,,,
product_variation,APyra2Pv0OErPlqA,,,,,,,,KI0295XL_74128_74118,11.64,Navy Blue,XL,,,,,,,,,,,
product,MorW5AnS6FRuRpma,Extra grote shopper van katoen,"100% katoen. Katoenen shopper, versie extra large. De hengsels zijn gemaakt van hetzelfde materiaal als de tas zelf. 100% personaliseerbaar. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266675&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266675&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331302&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,
product_option,MorW5AnS6FRuRpma,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,MorW5AnS6FRuRpma,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,MorW5AnS6FRuRpma,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,MorW5AnS6FRuRpma,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,MorW5AnS6FRuRpma,,,,,,,,KI0292_74102_74100,5.9,Black,One Size,,,,,,,,,,,
product_variation,MorW5AnS6FRuRpma,,,,,,,,KI0292N_74103_74101,4.44,Natural,One Size,,,,,,,,,,,
product,J7WWCKtlPNHaWSLC,Shopper van katoen en gevlochten jutedraad,"100% jute / 100% katoen. Shopper met boven- en onderpanelen in gevlochten jute met gebreide look, en een middenpaneel in katoen, voor eenvoudige personalisatie. Binnenzak met ritssluiting voor spulletjes.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263299&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263299&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277818&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277817&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=308613&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331298&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331299&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Color,Cumin Yellow / Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Color,Minorca Navy / Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,J7WWCKtlPNHaWSLC,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,J7WWCKtlPNHaWSLC,,,,,,,,KI0294C_74107_74105,14.36,Black,One Size,,,,,,,,,,,
product_variation,J7WWCKtlPNHaWSLC,,,,,,,,KI0294_74108_74104,13,Cumin Yellow / Natural,One Size,,,,,,,,,,,
product_variation,J7WWCKtlPNHaWSLC,,,,,,,,KI0294_74109_74104,13,Minorca Navy / Natural,One Size,,,,,,,,,,,
product_variation,J7WWCKtlPNHaWSLC,,,,,,,,KI0294N_74110_74106,11.46,Natural,One Size,,,,,,,,,,,
product,IxlsyhNxAO9OeYdi,Extra grote shopper van katoen,"100% katoen. Katoenen shopper, versie extra large. De hengsels zijn gemaakt van dezelfde stof als de tas zelf. 100% personaliseerbaar. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266673&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266673&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,IxlsyhNxAO9OeYdi,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,IxlsyhNxAO9OeYdi,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,IxlsyhNxAO9OeYdi,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,
product_option,IxlsyhNxAO9OeYdi,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,IxlsyhNxAO9OeYdi,,,,,,,,KI0296_74133_74132,6.9,Black,One Size,,,,,,,,,,,
