type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Forest Green / Beige,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Light Grey / Dark Grey,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,
product_option,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68375_68374,3.5,Black,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68376_68374,3.5,Black / Orange,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68377_68374,3.5,Black / Red,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68378_68374,3.5,Black / White,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68379_68374,3.5,Dark Grey / Light Grey,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68380_68374,3.5,Forest Green / Beige,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68381_68374,3.5,Light Grey / Dark Grey,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68382_68374,3.5,Navy,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68383_68374,3.5,Navy / White,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68384_68374,3.5,Red / White,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68385_68374,3.5,Royal Blue / White,One Size,,,,,,,,
product_variation,FYIx8rwyybPuMEg5,,,,,,,,,,,,,,,,,KP185_68386_68374,3.5,White / Navy,One Size,,,,,,,,
product,D85pfLZ027seXbSx,Pet - 6 panelen,100% katoen.  Pet 6 panelen. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383850&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383850&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390757&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390759&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214331&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214330&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214329&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390758&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Black / Light Grey,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Navy / Red,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,Royal Blue / Red,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,White / Black,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,
product_option,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68388_68387,3.36,Black,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80599_68387,3.36,Black / Light Grey,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80600_68387,3.36,Black / Red,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68389_68387,3.36,Dark Grey,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68390_68387,3.36,Forest Green,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68391_68387,3.36,Light Grey,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68392_68387,3.36,Navy,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80601_68387,3.36,Navy / Red,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68393_68387,3.36,Red,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68394_68387,3.36,Royal Blue,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80602_68387,3.36,Royal Blue / Red,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_68395_68387,3.36,White,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80603_68387,3.36,White / Black,One Size,,,,,,,,
product_variation,D85pfLZ027seXbSx,,,,,,,,,,,,,,,,,KP188_80604_68387,3.36,White / Navy,One Size,,,,,,,,
product,1imGq5Nu8nhBq4ma,Pet - 5 panelen,100% katoen. Pet met 5 panelen. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383849&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383849&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390754&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390756&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214328&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214327&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214326&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390755&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Beige / White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey / Black,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey / Light Grey,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Forest Green / Beige,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Light Grey / Dark Grey,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Navy / Yellow,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Purple / Dark Grey,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Slate Grey / Light Grey,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,White / Red,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Color,Yellow / Slate Grey,RADIOBUTTONS,TRUE,,,,
product_option,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80605_68396,3.44,Beige / White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80606_68396,3.44,Black,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68397_68396,3.44,Black / Orange,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68398_68396,3.44,Black / Red,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68399_68396,3.44,Black / White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80607_68396,3.44,Dark Grey / Black,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68400_68396,3.44,Dark Grey / Light Grey,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68401_68396,3.44,Forest Green / Beige,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68402_68396,3.44,Light Grey / Dark Grey,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80608_68396,3.44,Navy,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68403_68396,3.44,Navy / White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80609_68396,3.44,Navy / Yellow,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80610_68396,3.44,Purple / Dark Grey,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68404_68396,3.44,Red / White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68405_68396,3.44,Royal Blue / White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80611_68396,3.44,Slate Grey / Light Grey,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80612_68396,3.44,White,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_68406_68396,3.44,White / Navy,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80613_68396,3.44,White / Red,One Size,,,,,,,,
product_variation,1imGq5Nu8nhBq4ma,,,,,,,,,,,,,,,,,KP189_80614_68396,3.44,Yellow / Slate Grey,One Size,,,,,,,,
product,pzP2zjlxhrMUPR4Y,Pet - 6 panelen,100% katoen. Pet 6 panelen. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390752&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390752&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390751&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390753&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214325&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214324&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214323&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383848&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Color,Beige,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Color,Slate Grey,RADIOBUTTONS,TRUE,,,,
product_option,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_variation,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,KP190_68408_68407,3.36,Beige,One Size,,,,,,,,
product_variation,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,KP190_68409_68407,3.36,Black,One Size,,,,,,,,
product_variation,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,KP190_68410_68407,3.36,Forest Green,One Size,,,,,,,,
product_variation,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,KP190_68411_68407,3.36,Navy,One Size,,,,,,,,
product_variation,pzP2zjlxhrMUPR4Y,,,,,,,,,,,,,,,,,KP190_68412_68407,3.36,Slate Grey,One Size,,,,,,,,
